rgn_id_OHI	long_NW	lat_NW	long_SE	lat_SE
86	-5.806	-15.89	-5.64	-16.02
87	-5.806	-15.89	-5.64	-16.02
89	-38.2	-53.89	-35.63	-55.04
90	-64.48	47.15	-61.96	45.93
91	50.07	-45.91	51.95	-46.57
92	77.43	-37.83	77.62	-37.93
93	68.46	-48.48	70.69	-49.8
94	73.15	-52.86	73.83	-53.23
95	-61.47	-50.9	-57.67	-52.41
96	-13.78	10.1	-10.37	6.31
97	-11.3	8.52	-7.46	4.09
98	-0.11	11.23	1.84	6.02
99	0.7	12.31	3.21	6.16
100	11.4	3.31	17.87	-5.2
101	11.57	-17.03	20.37	-28.4
102	14.2	-24.15	32.21	-34.64
103	6.34	0.46	6.85	-0.1
104	9.8	2.26	11.37	1.02
105	3.33	-54.38	3.49	-54.47
106	-3.13	11.09	1.44	5.61
107	-87.14	5.56	-87.06	5.5
108	-64.91	32.4	-64.64	32.23
110	-78.68	25.34	-77.34	23.5
111	-75.71	23.85	-71.22	21.32
112	-85.42	23.28	-73.96	19.54
113	-81.51	19.45	-81.01	19.1
114	-74.69	20.15	-71.72	17.79
115	-71.84	20.12	-68.19	17.53
116	-67.36	18.61	-65.55	17.87
117	-65.1	18.664	-64.28	18.22
118	-63.231	18.31	-62.9	18.03
119	-63.06	17.55	-62.47	17.06
120	-61.98	17.73	-61.62	16.95
121	-62.233	16.842	-62.12	16.653
122	-61.13	14.15	-60.86	13.66
123	-61.55	15.65	-61.23	15.18
124	-59.72	13.4	-59.38	13
125	-61.82	12.3	-61.54	11.91
126	-61.734	10.9	-60.89	9.98
127	-61.56	13.39	-61.13	12.4
129	-82.87	10.05	-77.27	6.7
130	-85.93	11.13	-82.69	8.15
131	-87.53	15.06	-83.57	10.89
132	-79.14	11.91	-67.06	-4.06
133	-88.99	16.11	-83.22	13.31
134	-90.18	14.62	-87.74	13.08
135	-117.31	32.55	-85.32	15.24
136	-92.25	17.89	-88.96	13.31
137	-81.88	1.36	-75.29	-4.76
138	-82.05	-0.62	-68.41	-18.16
139	-73.25	11.91	-60.43	1.36
140	-61.07	8.47	-56.52	1.13
141	-7.66	62.5	-6.03	61.27
143	-25.09	66.98	-13.32	63.49
144	10.46	81.85	27.36	76.02
146	128.36	-24.41	128.28	-24.42
147	-149.69	-17.45	-149.13	-17.92
148	-159.857	-18.75	-157.24	-20.29
149	-158.02	-21.84	-157.85	-21.97
150	-157.64	2.06	-157.17	1.68
151	-170.89	-14.2	-170.541	-14.42
152	-172.836	-13.42	-171.38	-14.11
153	-159.75	-21.18	-159.77	-21.2
154	-169.89	-18.9	-169.85	-19
155	-175.15	-21.26	-175.146	-21.3
156	-171.85	-9.17	-171.8526271	-9.170899836
157	-148.02	-22.84	-147.85	-21.97
158	-176.63	0.8	-176.7	1.1
159	-169.53	16.73	-169.5	16.69
161	-178.1814909	-14.23301801	-178.1814909	-14.23301801
162	166.2	-33.9	177.9	-48.1
163	-125	49.4	-67.8	25.8
164	-89.34	18.48	-88.13	15.94
166	-78.58	18.71	-76.12	17.57
167	-60.19	8.29	-56.81	1.59
168	-57.4	6.37	-54.42	1.88
169	-54.37	5.84	-51.86	2.06
171	-73.4	1.2	-37.3	-33.7
172	-72.8	-22.9	-58.5	-53.4
173	-57.95	-30.18	-53.32	-34.75
174	21.4	69	28	60.5
175	8.14	57.05	10.53	54.86
176	6.69	54.37	14.64	47.95
177	3.22	53.29	7.12	51.19
178	14	54.07	24.03	49.06
179	-4.47	49.7	7.47	42.24
180	-7.45	57.92	1.47	50.64
181	-10.54	54.6	-6.16	51.57
182	-9.08	43.7	2.34	36.47
183	-9.08	42.01	-7.1	37.05
184	6.95	46.03	18.72	36.59
185	7.36	43.75	7.46	43.74
186	18	43.54	20.22	41.93
187	13.33	45.51	17.93	42.5
188	13.66	46.54	16.36	45.62
189	21.11	56.26	26.73	54.01
190	50.79	26.14	51.58	24.52
191	44.54	39.51	61.73	24.93
192	38.19	36.88	48.68	29.25
193	-16.84	12.38	-13.61	11.42
194	-15.3	12.64	-8.01	7.43
195	-8.14	10.39	-2.84	4.97
196	3.69	13.21	13.25	4.24
197	8.95	12.74	16.29	1.51
198	9.19	2.41	14.69	-3.99
199	16.18	5.46	32.15	-13.36
200	12.19	-6.12	23.5	-17.72
202	30.52	-1.12	40.93	-11.61
203	69.31	35.88	89.04	7.82
204	87.86	26.41	92.68	20.66
205	93	28.79	99.27	9.42
206	99.82	6.58	104.52	1.32
207	101.88	23.27	109.08	8.42
208	103.61	1.418	104.04	1.226
209	74.4	52.8	131.4	20.3
210	128.66	41.45	142.28	29.66
212	-157.23	1.7	-157.37	1.88
213	-66.9	-59	-86	-88.3
214	24.68	31.65	37.05	21.78
215	35.08	34.23	39.25	28.83
216	96.35	1.46	125.49	-9.69
218	-141.1	85.5	-49.1	42.5
219	-56.46	47.16	-56.11	46.69
220	-62.89	17.94	0	17.86
221	-63.14	18.05	-62.99	17.99
222	11.69	69.23	23.83	55.69
223	4.12	71.61	31.05	57.59
224	-71.76	-17.64	-68.52	-56.34
227	-2.27	49.29	-1.99	49.15
228	-2.69	49.53	-2.48	49.4
231	124.77	-8.38	127.3	-9.4
232	18.31	43.63	20.23	41.69
237	124.01	-9.16	124.5	-9.52
244	-69.23	12.47	-68.67	11.94
245	-68.45	12.37	-68.13	11.98
247	113.74	4.98	115.06	3.98
248	-63.27	17.66	-63.21	17.6
249	-63.01	17.53	-62.93	17.44
250	-70.11	12.68	-69.84	12.37
