rgn_id_OHI	long_NW	lat_NW	long_SE	lat_SE
1	96.81	-12.12	96.92	-12.2
2	105.73	-10.23	105.85	-10.37
3	167.98	-28.89	168.08	-29.89
4	34.71	17.45	43.36	12.55
5	163.6	-14.04	167.16	-22.42
6	166.08	-14.55	168.69	-17.07
7	153.87	-5.64	163.14	-11
8	134.17	8.08	134.7	6.82
9	158.1	6.87	158.37	6.79
10	166.66	-0.49	166.95	-0.57
11	171.36	3.27	177.23	-2.56
12	166.61	19.43	166.65	19.27
13	145.51	15.27	145.82	14.89
14	119.83	25.24	121.8	21.7
15	116.52	18.12	127.48	5.45
16	110.8	-9.9	154.2	-44.3
17	141	-0.8	150.8	-11
18	176.78	-16.13	180.32	-19.3
19	173.33	2.07	173.32	1.95
20	126.22	38.13	129.66	34.43
21	124.27	42.87	130.83	38.83
24	102.06	14.71	107.38	10.37
25	97.36	20.57	105.43	6.14
26	92.37	13.27	94.09	6.67
28	43.18	-11.37	43.52	-11.48
29	44.2	-12.58	45.32	-13.02
30	47.28	-11.54	47.32	-11.57
31	55.15	-4.17	56.01	-4.82
32	55.18	-20.18	55.87	-21.18
33	42.71	-17.04	42.76	-17.08
34	39.67	-21.45	39.74	-21.5
35	40.31	-22.31	40.39	-22.37
36	54.41	-15.86	54.42	-15.87
37	57.25	-19.97	57.81	-20.58
38	72.31	-7.207	72.53	-7.43
39	72.36	7.38	73.8	-0.75
40	79.36	9.91	82.04	5.66
41	30.08	-11.2	39.88	-26.78
42	43.97	-12.06	49.99	-25.44
43	33.38	5.25	41.77	-4.78
44	42.29	11.52	50.72	-2.27
46	41.59	12.39	43.31	10.73
47	42.18	18.83	53.11	13.35
48	54.14	24.38	59.84	16.7
49	21.69	22.06	39.41	9.07
50	33.58	31.08	55.96	16.47
51	46.5	30.18	48.45	28.55
52	50.35	26.28	50.7	25.77
53	61.02	36.68	76.76	23.28
54	51.06	26	56.55	22.71
55	-31.46	40	-24.76	36.67
56	-25.81	17.43	-22.25	14.4
57	-17.35	33.21	-16.24	32.4
58	-18.4	29.32	-13.39	27.36
59	2.42	51.54	6.37	49.47
60	-5.36	36.14	-5.33	36.1
61	7.43	37.49	11.68	30.31
62	-17.26	36.36	-0.65	26.78
63	-17.32	28.49	-8.05	21.55
64	-18.01	25.75	-4.61	15.14
65	-16.85	13.76	-13.76	13.04
66	-16.75	16.74	-11.28	12.27
67	9.2	34.16	25.29	19.47
68	13.93	35.98	14.65	35.75
69	20.89	57.94	28.28	55.63
70	22.09	59.47	28.16	57.46
71	22.3	44.25	28.57	41.42
72	20.55	48.3	29.85	43.63
73	28.1	70.6	182.9	49.2
74	39.81	43.69	46.81	41.04
75	21.71	51.71	39.96	47.02
76	25.97	41.77	44.88	36.99
77	35.21	37.11	42.09	32.91
78	34.88	34.78	36.4	33.06
79	33.77	33.09	35.7	29.5
80	19.26	40.92	28.67	35.1
81	32.03	35.65	34.5	34.6
82	19.1	42.64	21.11	39.53
84	-8.9	35.9	12.1	19.1
85	-14.43	-7.86	-14.288	-7.98
