lat	long	sal
-77.5	-178.5	33.99292308
-77.5	-163.5	34.06046154
-77.5	-161.5	34.03307692
-77.5	-160.5	33.87061538
-77.5	-159.5	33.86246154
-77.5	165.5	34.28238462
-76.5	-166.5	34.01236364
-76.5	-163.5	34.067
-76.5	-162.5	33.97623077
-76.5	-161.5	33.924
-76.5	-155.5	33.58076923
-76.5	-153.5	33.468
-76.5	168.5	34.37853846
-76.5	176.5	34.17438462
-75.5	-166.5	33.73946154
-75.5	-165.5	33.66223077
-75.5	-164.5	33.80476923
-75.5	-163.5	33.92784615
-75.5	-162.5	34.0704
-75.5	-161.5	34.0917
-75.5	-160.5	34.09872727
-75.5	-159.5	34.0901
-75.5	-158.5	34.0775
-75.5	-157.5	34.067
-75.5	-156.5	34.0644
-75.5	-155.5	34.0578
-75.5	-154.5	34.0182
-75.5	-153.5	33.9898
-75.5	-152.5	33.9568
-75.5	-151.5	33.9131
-75.5	-150.5	33.645
-75.5	-149.5	33.62261538
-75.5	167.5	34.47046154
-75.5	168.5	34.29815385
-75.5	169.5	34.33784615
-74.5	-176.5	33.97130769
-74.5	-175.5	33.98684615
-74.5	-174.5	33.98369231
-74.5	-150.5	33.60807692
-74.5	-148.5	33.50553846
-74.5	-147.5	33.44176923
-74.5	-146.5	33.57361538
-74.5	-145.5	33.72992308
-74.5	-144.5	34.07318182
-74.5	-143.5	34.07
-74.5	-108.5	33.74523077
-74.5	167.5	34.21454545
-74.5	170.5	34.20976923
-73.5	-172.5	33.97576923
-73.5	-171.5	34.01430769
-73.5	-170.5	33.92515385
-73.5	-154.5	33.93661538
-73.5	-150.5	33.89323077
-73.5	-149.5	33.82353846
-73.5	-148.5	34.01545455
-73.5	-145.5	33.60884615
-73.5	-144.5	33.56169231
-73.5	-143.5	34.06130769
-73.5	-142.5	34.025
-73.5	-141.5	33.81172727
-73.5	-140.5	33.66490909
-73.5	-134.5	33.67453846
-73.5	-133.5	33.64715385
-73.5	-132.5	33.65415385
-73.5	-131.5	33.78576923
-73.5	-129.5	33.61323077
-73.5	-128.5	33.58407692
-73.5	-127.5	33.58176923
-73.5	-118.5	33.69576923
-73.5	-117.5	33.45846154
-73.5	-116.5	33.55330769
-73.5	-115.5	33.75807692
-73.5	-114.5	33.51407692
-73.5	-113.5	33.69707692
-73.5	-112.5	33.65023077
-73.5	-110.5	33.65407692
-73.5	-109.5	33.65284615
-73.5	-108.5	33.839
-73.5	-107.5	33.38830769
-73.5	-106.5	33.76476923
-73.5	-104.5	33.6985
-73.5	-34.5	34.05323077
-73.5	-24.5	34.04253846
-73.5	174.5	34.22384615
-72.5	-169.5	33.83992308
-72.5	-168.5	33.82769231
-72.5	-167.5	33.83738462
-72.5	-166.5	33.91776923
-72.5	-165.5	34.09490909
-72.5	-164.5	34.12518182
-72.5	-163.5	34.14154545
-72.5	-162.5	34.14284615
-72.5	-161.5	34.14638462
-72.5	-160.5	34.134
-72.5	-159.5	34.138
-72.5	-158.5	34.10763636
-72.5	-157.5	34.06463636
-72.5	-156.5	33.979
-72.5	-155.5	33.90190909
-72.5	-153.5	33.73138462
-72.5	-152.5	33.67346154
-72.5	-151.5	33.62715385
-72.5	-150.5	33.71269231
-72.5	-149.5	33.68046154
-72.5	-147.5	33.98972727
-72.5	-146.5	33.9163
-72.5	-145.5	33.64753846
-72.5	-144.5	33.57661538
-72.5	-140.5	33.62330769
-72.5	-139.5	33.60730769
-72.5	-128.5	33.56423077
-72.5	-127.5	33.56669231
-72.5	-126.5	33.56769231
-72.5	-125.5	33.61730769
-72.5	-124.5	33.80807692
-72.5	-123.5	33.34138462
-72.5	-122.5	33.35946154
-72.5	-121.5	33.46781818
-72.5	-120.5	33.37038462
-72.5	-119.5	33.35446154
-72.5	-118.5	33.31315385
-72.5	-117.5	33.48553846
-72.5	-115.5	33.47146154
-72.5	-114.5	33.59015385
-72.5	-108.5	33.61623077
-72.5	-106.5	33.74915385
-72.5	-104.5	33.76046154
-72.5	-33.5	34.23046154
-72.5	-32.5	34.25084615
-72.5	-31.5	34.10723077
-72.5	-30.5	34.04523077
-72.5	-29.5	34.03953846
-72.5	-28.5	34.09046154
-72.5	-27.5	34.13884615
-72.5	-21.5	34.17015385
-72.5	-20.5	33.95823077
-72.5	-19.5	34.07269231
-72.5	173.5	34.05792308
-72.5	175.5	34.06315385
-71.5	-170.5	33.77146154
-71.5	-169.5	33.82453846
-71.5	-158.5	33.99381818
-71.5	-150.5	33.68538462
-71.5	-125.5	33.9448
-71.5	-124.5	34.01069231
-71.5	-123.5	34.03054545
-71.5	-122.5	33.91272727
-71.5	-121.5	33.711
-71.5	-119.5	33.90158333
-71.5	-118.5	33.66592308
-71.5	-117.5	33.23076923
-71.5	-116.5	33.21115385
-71.5	-115.5	33.50630769
-71.5	-114.5	33.45453846
-71.5	-113.5	33.34761538
-71.5	-112.5	33.45384615
-71.5	-110.5	33.35461538
-71.5	-109.5	33.59376923
-71.5	-108.5	33.47753846
-71.5	-107.5	33.50523077
-71.5	-106.5	33.57023077
-71.5	-105.5	33.59515385
-71.5	-104.5	33.48876923
-71.5	-103.5	33.52530769
-71.5	-102.5	33.62469231
-71.5	-101.5	33.32430769
-71.5	-20.5	34.37088889
-71.5	-19.5	34.18830769
-71.5	-18.5	34.15415385
-71.5	-17.5	34.28484615
-71.5	-16.5	34.3585
-71.5	-14.5	34.00453846
-71.5	-13.5	33.90781818
-71.5	172.5	34.18238462
-71.5	173.5	34.14446154
-71.5	174.5	34.25307692
-70.5	-169.5	33.87753846
-70.5	-150.5	33.75792308
-70.5	-149.5	33.73192308
-70.5	-122.5	33.69492308
-70.5	-121.5	33.72792308
-70.5	-102.5	33.22946154
-70.5	-100.5	33.18976923
-70.5	-99.5	33.46061538
-70.5	-98.5	33.71669231
-70.5	-96.5	33.80076923
-70.5	-95.5	33.77176923
-70.5	-94.5	33.74707692
-70.5	-93.5	33.81207692
-70.5	-92.5	33.98969231
-70.5	-91.5	33.86723077
-70.5	-48.5	34.42133333
-70.5	-32.5	34.14576923
-70.5	-31.5	34.27353846
-70.5	-30.5	34.22653846
-70.5	-29.5	34.1935
-70.5	-28.5	34.05984615
-70.5	-27.5	34.10623077
-70.5	-26.5	34.30684615
-70.5	-25.5	34.19623077
-70.5	-24.5	34.28453846
-70.5	-23.5	34.24423077
-70.5	-22.5	34.23976923
-70.5	-21.5	34.24153846
-70.5	-20.5	34.21115385
-70.5	-19.5	34.10469231
-70.5	-18.5	33.98646154
-70.5	-17.5	34.068
-70.5	-16.5	34.128
-70.5	-15.5	34.20507692
-70.5	-14.5	34.39984615
-70.5	-13.5	34.402
-70.5	-12.5	34.13130769
-70.5	-11.5	34.12315385
-70.5	-10.5	34.27376923
-70.5	-9.5	34.04892308
-70.5	-8.5	34.01323077
-70.5	-7.5	34.04207692
-70.5	-3.5	33.97484615
-70.5	168.5	34.16469231
-70.5	169.5	34.15884615
-70.5	175.5	34.11538462
-69.5	-170.5	33.92153846
-69.5	-150.5	33.72192308
-69.5	-149.5	33.65676923
-69.5	-126.5	33.52838462
-69.5	-125.5	33.80315385
-69.5	-124.5	33.97107692
-69.5	-123.5	33.81176923
-69.5	-122.5	33.86338462
-69.5	-121.5	33.97107692
-69.5	-107.5	33.61672727
-69.5	-106.5	33.89572727
-69.5	-105.5	34.04009091
-69.5	-104.5	34.03569231
