rgn_id_OHI	lat	long	sal
100	-77.5	165.5	34.28238462
199	-77.5	165.5	34.28238462
100	-76.5	168.5	34.37853846
199	-76.5	168.5	34.37853846
11	-76.5	176.5	34.17438462
199	-76.5	176.5	34.17438462
100	-75.5	167.5	34.47046154
199	-75.5	167.5	34.47046154
100	-75.5	168.5	34.29815385
199	-75.5	168.5	34.29815385
100	-75.5	169.5	34.33784615
199	-75.5	169.5	34.33784615
100	-74.5	167.5	34.21454545
199	-74.5	167.5	34.21454545
199	-74.5	170.5	34.20976923
11	-73.5	174.5	34.22384615
199	-73.5	174.5	34.22384615
11	-72.5	173.5	34.05792308
199	-72.5	173.5	34.05792308
11	-72.5	175.5	34.06315385
199	-72.5	175.5	34.06315385
11	-71.5	172.5	34.18238462
199	-71.5	172.5	34.18238462
11	-71.5	173.5	34.14446154
199	-71.5	173.5	34.14446154
11	-71.5	174.5	34.25307692
199	-71.5	174.5	34.25307692
100	-70.5	168.5	34.16469231
199	-70.5	168.5	34.16469231
100	-70.5	169.5	34.15884615
199	-70.5	169.5	34.15884615
11	-70.5	175.5	34.11538462
199	-70.5	175.5	34.11538462
199	-69.5	2.5	34.244
100	-69.5	11.5	33.33407692
199	-69.5	18.5	34.209
199	-69.5	29.5	33.76653846
100	-69.5	169.5	34.05453846
199	-69.5	169.5	34.05453846
11	-69.5	171.5	33.87761538
199	-69.5	171.5	33.87761538
199	-69.5	178.5	33.81469231
199	-69.5	179.5	33.65315385
199	-68.5	2.5	34.19215385
199	-68.5	3.5	34.02153846
43	-68.5	4.5	34.238
44	-68.5	5.5	34.09276923
16	-68.5	13.5	34.10361538
100	-68.5	13.5	34.10361538
16	-68.5	15.5	34.10453846
100	-68.5	15.5	34.10453846
100	-68.5	16.5	34.09323077
199	-68.5	16.5	34.09323077
100	-68.5	17.5	34.07961538
199	-68.5	17.5	34.07961538
199	-68.5	18.5	34.05084615
199	-68.5	22.5	33.99261538
199	-68.5	23.5	33.95392308
199	-68.5	28.5	34.161
199	-68.5	29.5	33.97523077
199	-68.5	30.5	33.93738462
199	-68.5	31.5	33.96761538
43	-68.5	39.5	33.52530769
39	-68.5	72.5	33.92430769
39	-68.5	73.5	33.90669231
11	-68.5	171.5	33.758
199	-68.5	171.5	33.758
11	-68.5	172.5	33.64238462
199	-68.5	172.5	33.64238462
11	-68.5	174.5	33.57753846
199	-68.5	174.5	33.57753846
11	-68.5	175.5	33.54715385
