rgn_id_OHI	salinity
214	37.67033333
199	34.7760875012
179	32.5264594713
210	34.5835957205
191	35.911341137
218	33.5445655882
192	35.260769235
177	33.92057143
63	36.7759255683
64	36.7856938006
135	35.7152579442
178	33.3148858911
82	36.706923075
69	7.180692308
80	38.5574482766
81	39.21038462
84	35.2676678261
174	3.125576923
20	33.72484615
21	34.6174980021
48	35.9047451925
79	39.26746154
47	36.0164467744
44	34.7701809534
43	33.1652092831
40	34.655048112
182	34.46351416
180	35.12198225
181	33.7260153692
4	36.978454545
7	35.1904387631
8	34.049
188	33.1376365967
78	39.23530769
187	33.4217720915
200	34.7631803477
144	32.8749505528
77	39.28553846
76	33.6069333333
75	35.047
74	28.12123077
71	18.13623077
103	35.0747585832
100	34.3128830278
222	30.0132639904
97	33.6830524649
163	34.9436836048
11	34.859480733
39	34.8427788023
59	35.413954578
14	33.444625
16	34.0980599401
50	35.8015542404
53	35.7403956039
