rgn_id_OHI	salinity
1	0
2	0
3	0
4	36.97845455
5	0
6	0
7	35.19043876
8	34.049
9	0
10	0
11	34.85948073
12	0
13	0
14	33.444625
15	0
16	34.09805994
17	0
18	0
19	0
20	33.72484615
21	34.617498
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	34.8427788
40	34.65504811
41	0
42	0
43	33.16520928
44	34.77018095
45	0
46	0
47	36.01644677
48	35.90474519
49	0
50	35.80155424
51	0
52	0
53	35.7403956
54	0
55	0
56	0
57	0
58	0
59	35.41395458
60	0
61	0
62	0
63	36.77592557
64	36.7856938
65	0
66	0
67	0
68	0
69	7.180692308
70	0
71	18.13623077
72	0
73	0
74	28.12123077
75	35.047
76	33.60693333
77	39.28553846
78	39.23530769
79	39.26746154
80	38.55744828
81	39.21038462
82	36.70692308
83	0
84	35.26766783
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	33.68305246
98	0
99	0
100	34.31288303
101	0
102	0
103	35.07475858
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	35.71525794
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	32.87495055
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	34.9436836
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	3.125576923
175	0
176	0
177	33.92057143
178	33.31488589
179	32.52645947
180	35.12198225
181	33.72601537
182	34.46351416
183	0
184	0
185	0
186	0
187	33.42177209
188	33.1376366
189	0
190	0
191	35.91134114
192	35.26076924
193	0
194	0
195	0
196	0
197	0
198	0
199	34.7760875
200	34.76318035
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	34.58359572
211	0
212	0
213	0
214	37.67033333
215	0
216	0
217	0
218	33.54456559
219	0
220	0
221	0
222	30.01326399
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
