rgn_id_OHI	density
1	1.273961117
2	1.778398059
3	1.228520361
4	1.173157911
5	1.621609041
6	1.514186887
7	1.538428696
8	1.617639262
10	1.776326628
11	1.811515248
12	1.637665026
13	1.378025817
14	1.220606387
15	1.496209128
16	1.431474127
17	1.347906
18	1.459958375
19	1.30442067
20	1.214850143
21	1.225564516
24	1.212555264
25	1.200748951
26	1.365483366
28	1.465181984
29	1.499674518
30	1.225758171
31	1.230256384
32	1.806566972
33	1.225781265
34	1.22506548
35	1.293327759
36	1.688529275
37	1.721855827
38	1.340088784
39	1.459591509
40	1.3333499
41	1.239636993
42	1.343251906
43	1.14049486
44	1.378153702
46	1.167447653
47	1.17187663
48	1.284822629
49	1.159117825
50	1.173928342
51	1.20724648
52	1.225688888
53	1.12560322
54	1.21719612
55	1.484800129
56	1.691862001
57	1.537815693
58	1.549788841
59	1.215067051
61	1.217495546
62	1.399171501
63	1.272055638
64	1.232153403
65	1.221720889
66	1.218105816
67	1.20607771
68	1.354176667
69	1.21771774
70	1.222563865
71	1.193668387
72	1.187425479
73	1.228570226
74	1.161847468
75	1.20096402
76	1.139908582
77	1.183680486
78	1.304413083
79	1.269958219
80	1.302027552
81	1.400436105
82	1.15540535
84	1.174166063
85	1.321801791
86	1.46261589
87	1.46261589
89	1.255543828
90	1.228138175
91	1.273828782
92	1.36455033
93	1.232963791
94	1.253360002
95	1.233158967
96	1.23911089
97	1.27888134
98	1.200891405
99	1.194710636
100	1.172006698
101	1.205508386
102	1.200755254
103	1.57582662
104	1.183109113
105	1.229746956
106	1.201525955
107	1.367850056
108	1.227433409
110	1.327897688
111	1.611408658
112	1.423029984
113	1.512994212
114	1.33758768
115	1.334566469
116	1.388837859
117	1.317183767
118	1.231298898
119	1.320322189
120	1.227502767
121	1.230997658
122	1.5289705
123	1.382147738
124	1.289110069
125	1.524626643
126	1.238114998
127	1.593365649
129	1.359007899
130	1.285004724
131	1.222302756
132	1.223708407
133	1.192035231
134	1.14447827
135	1.343084631
136	1.174647245
137	1.23837366
138	1.295456897
139	1.203263695
140	1.215687243
141	1.239906887
143	1.214839801
144	1.29365868
146	1.165982602
147	1.466559039
148	1.818298823
149	1.649718832
150	1.479837213
151	1.595158806
152	1.569449693
153	1.227248469
154	1.534228526
155	1.217833279
157	1.884477395
158	1.946624332
159	1.226682224
161	1.240047774
162	1.357309601
163	1.254207524
164	1.204519049
166	1.562057814
167	1.215228785
168	1.207624123
169	1.214530363
171	1.249361763
172	1.202768865
173	1.212279184
174	1.206334238
175	1.22336866
176	1.199486456
177	1.224842629
178	1.20003495
179	1.223876171
180	1.218794421
181	1.221439685
182	1.213382798
183	1.19663533
184	1.295767674
185	1.185669151
186	1.113865089
187	1.195661862
188	1.165071907
189	1.213032559
190	1.224962777
191	1.131622889
192	1.160064296
193	1.221089524
194	1.21895377
195	1.193439246
196	1.186246508
197	1.172563397
198	1.193048477
199	1.135297433
200	1.132901475
202	1.13637606
203	1.217475915
204	1.21336667
205	1.20338448
206	1.210289817
207	1.193134578
208	1.22129558
209	1.110896776
210	1.427362461
213	1.350789182
214	1.207108338
215	1.152757975
216	1.423663012
218	1.269055233
219	1.241714606
220	1.544121812
222	1.209228607
223	1.253814048
224	1.17248327
227	1.227433409
228	1.229226118
231	1.346518918
232	1.111607005
237	1.605751421
244	1.383160693
245	1.444985082
247	1.22815418
248	1.255510883
249	1.227537447
250	1.256805121
