Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
66	8.1	2	7.9	10.3	3.5	7
65.3	7.3	0.5	8.3	12.3	3	7
64.6	5.7	0.5	9	16	4.5	10
61.6	1.3	-9.99	9	7.7	2	6
61.2	0.9	-9.99	9	5.1	2	6
61.1	1	-9.99	9	9.3	2	6
61.1	-146.3	-9.99	9	6.7	0.5	2
61	1.7	-9.99	9	2.6	1.5	6
60.6	1.6	-9.99	9	4.1	1.5	6
60.6	3.7	2.3	5	5.1	1.5	6
59.7	1.6	-9.99	5	7.2	1.5	5
59.6	2.2	-9.99	5	5.1	1.5	6
59.5	1.5	-9.99	5	6.7	1.5	5
59.3	-4.3	5	9	11	1	3
59.2	1.5	-9.99	9	7.7	1.5	5
58.7	1.4	-9.99	9	7.2	1.5	5
58.4	1.9	-9.99	9	3.6	1	6
58.3	0.8	-9.99	9	7.7	1.5	6
58	1.4	-9.99	9	5.1	1	5
58	-0.3	-9.99	9	4.1	1	4
57.9	0	-9.99	9	7.2	1	4
57.9	1.8	-9.99	9	7.2	1	5
57.7	0.7	-9.99	9	5.1	1	5
57.7	0.9	-9.99	9	6.2	1	5
57.7	1.8	-9.99	9	6.7	1	4
57.6	1.1	-9.99	9	3.6	1	5
57.6	-0.6	-9.99	9	12.9	1	5
57.3	1.6	-9.99	9	6.7	1	4
57.3	2	-9.99	9	3.1	1	4
57.2	0.8	7.5	9.7	4.6	1	4
57.1	0.9	-9.99	9.7	5.1	1	4
57	1.8	-9.99	9.7	6.2	1	4
57	1.9	-9.99	9.7	4.6	1	4
55.8	6.9	-9.99	9.7	3.6	0.4	5
55.1	-142.7	-9.99	9.7	13.4	3	8
54.6	-137.4	7.2	7.8	15.4	3.5	10
54.5	-168.7	8	5	13	4	16
54.4	-174.4	3	5.9	9.3	2.5	9
54.4	-167.2	-9.99	5.9	12.9	3	12
54.4	-132.4	6	7.7	15	2.5	6
54.2	-161.2	1.5	8	18	5	7
54	0.7	-9.99	8	6.7	1	5
53.9	-138.9	6.9	7.9	13	4.5	10
53.8	-128.8	2.6	7.1	13	1	4
53.7	1.1	-9.99	7.1	5.7	1	5
53.6	-131.1	7.9	8.3	9	2.5	12
53.4	1.7	-9.99	8.3	5.1	1	4
53.1	2.8	-9.99	8.3	8.7	1	4
53.1	-15.9	9.4	11.3	8.2	3.5	8
53	2.1	-9.99	11.3	7.7	1	4
52.7	144	-10	2	10	2	8
52.6	143.9	-11	2.2	11	2	8
52.5	-132.7	8.3	8.2	11	3.5	10
52.4	-138.2	8.3	7.8	6.2	3.5	12
52.4	-138.1	8.3	7.8	6.2	3.5	12
52.4	-129.8	8.6	8.6	14	3	12
51.4	-128.8	-9.99	8.6	13	3.5	12
51.4	-7.9	-9.99	8.6	4.1	2	7
50.9	-136.1	8.2	8.1	5	3	11
50.9	-129.9	9.6	9.6	10	4	11
50.4	-131.1	10.5	8	10.3	2.5	8
50.3	165.8	-9.99	8	9.3	2	5
49.9	-125	-9.99	8.6	11	1.5	6
49.8	-11	9	12	14.4	3.5	12
49.7	-153.8	5	8	15.4	4.5	9
