Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
71.8	43.8	-5	2.6	4	2	6
63.5	5.3	-9.99	2.6	17	5	12
61.6	1.3	-9.99	2.6	15.9	5.5	8
61.2	1.1	-9.99	2.6	17	4	7
61.1	1	-9.99	2.6	14.9	4.5	7
61	1.7	-9.99	2.6	15.4	4	8
60.7	-2.6	-9.99	2.6	14.4	5	8
60.6	3.7	5.2	1.9	11.3	3.5	8
60.6	-4.9	9.6	8.3	13.4	5	8
59.7	1.6	-9.99	8.3	13.9	3	6
59.6	2.2	-9.99	8.3	12.3	3	7
59.3	1.5	-9.99	8.3	15.9	4	5
59.1	-11.7	7.2	9.5	15.4	7.5	9
58.7	1.4	-9.99	9.5	15.9	3.5	7
58.5	-149.2	3.9	3.9	11.3	2.5	10
57.9	0	-9.99	3.9	15.9	3.5	7
57.7	0.8	-9.99	3.9	16.5	3	6
57.7	0.9	-9.99	3.9	16.5	3	7
57.7	1.1	-9.99	3.9	15.4	3	6
57.7	1.8	-9.99	3.9	5.7	1.5	3
57.7	8.3	-1	3	10.8	2	4
57.4	1.3	-9.99	3	15.4	1.5	7
57.3	2	-9.99	3	12.9	3	6
57.2	1.6	-9.99	3	12.3	3	6
57.2	2.2	-9.99	3	10.3	2.5	6
57.1	1	-9.99	3	12.9	2.5	6
57.1	2.2	6.5	6	19.5	4	5
55.4	-12.2	-9.99	10.6	13.4	6	9
54.7	179.6	0	2.8	9.8	3.5	8
54.7	-173.6	6	4	3.1	1	7
54.5	-169.8	3	4	4.1	1.5	6
54.4	-174.3	4	4.5	2.6	2	6
54.2	-134.3	7.3	6.8	16	5	9
53.9	-138.9	7.1	6.2	12	3	8
53.8	169.8	-2	3.2	6.2	1	7
53.8	-160.6	2.6	3.5	8.2	1.5	5
53.8	-128.8	-0.8	5.7	8	0.5	2
53.7	1.1	-9.99	5.7	8.7	1	4
53.6	174.4	0	3.2	8.2	1.5	10
53.4	1.7	-9.99	3.2	8.2	1	4
53.1	2.8	-9.99	3.2	8.7	1	4
