Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
65.3	7.3	-3.8	8.2	4.6	1	6
63.1	7.5	-9.99	8.2	3.1	1	10
61.6	1.3	-9.99	8.2	6.7	3	6
61.2	1.1	-9.99	8.2	5.7	2.5	6
61.1	1	-9.99	8.2	3.1	3	7
61	1.7	-9.99	8.2	3.6	3	7
60.8	1.7	-9.99	8.2	1	3	5
60.6	1.7	-9.99	8.2	2.6	2.5	9
60.6	3.7	-9.99	8.2	1.5	2	7
59.6	2.2	1.7	6.2	4.6	2	7
59.5	1.6	-9.99	6.2	6.2	2.5	6
59.2	1.5	-9.99	6.2	7.2	3	6
58.7	1.4	-9.99	6.2	3.6	2	4
58.4	1.9	-9.99	6.2	6.2	2.5	7
58.4	-2.6	3	7.7	7.2	2	6
58.3	0.9	-9.99	7.7	10.3	3.5	6
57.7	0.9	-9.99	7.7	8.2	2.5	6
57.7	1.4	-9.99	7.7	8.7	2.5	6
57.7	1.8	-9.99	7.7	11.8	2.5	6
57.7	10.6	-9.99	7.7	8.2	1.5	4
57.6	2.4	-9.99	7.7	12.9	3.5	6
57.2	0.8	-9.99	7.7	10.3	3	6
57.1	1	-9.99	7.7	9.3	3	6
57.1	2.1	-9.99	7.7	7.2	3	7
57	1.8	-9.99	7.7	9.3	3	4
57	2	-9.99	7.7	9.3	2.5	6
55.6	-141.5	5.1	5	7.2	1.5	8
55.4	155	-9.99	5	10	2.5	5
55.4	-12.2	7.5	10.7	4.6	2.5	8
54.4	-132.4	8.5	6.8	4	0.4	11
54.2	-134.3	4.7	7.8	2	1.5	10
54	-3.8	-9.99	7.8	12.3	1.5	4
53.9	-3.6	-9.99	7.8	10.3	1.5	4
53.8	6.3	4.2	3	14	2.5	3
53.8	-3.5	-9.99	3	8.7	1.5	4
53.6	-131.1	6.3	7.4	3	0.4	11
53.5	-5.4	5.1	8.5	11.3	1.5	5
53.4	1.7	-9.99	8.5	9.3	1.5	5
53.2	3.9	-9.99	8.5	9.3	2.5	6
53.1	2.8	-9.99	8.5	9.8	2	6
53.1	-15.9	8.6	11	2.6	2	9
53	2.1	-9.99	11	9.8	2	5
52.5	2.1	-9.99	11	10.3	2	6
52.5	166.3	1	3	16.5	2.5	5
52.5	-132.7	5.9	8	4	1.5	10
52.4	2	-9.99	8	10.8	1	5
52.4	155.7	-9.99	8	7	2	5
52.4	-129.8	6.8	8.2	1	1	10
52.4	-4.7	5.5	6.5	9.3	1.5	5
51.8	-131.2	6.1	8.8	4	2	8
51.6	-5.1	5.7	7.8	8.2	1	5
51.4	1.9	6.4	7.6	7	1.5	4
51.4	2	3.5	6.8	8.2	0.5	6
51.4	2.6	5	7	8	1	5
51.4	-128.8	7.3	8.3	1	1.5	10
51.4	-7.9	-9.99	8.3	8.7	1	4
51.2	-10.5	7.9	10.8	5.1	2	6
51.1	1.8	3.1	7.1	9.3	0.5	6
50.9	-136.1	6.1	7.4	6	1.5	9
50.9	-129.9	7.3	8	3	2	11
50.9	-19.5	8.5	11	3.6	1	8
50.4	0	4	8.3	8.2	0.5	5
50.4	-1.7	4	7	12.3	1	2
50.1	-6.1	6.5	8.9	7.2	1	7
