Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
65.3	7.3	4.3	8.8	7.7	4	8
61.6	1.3	-9.99	8.8	9.8	4	7
61.2	1.1	-9.99	8.8	7.7	3	7
61.1	1	-9.99	8.8	8.7	3.5	7
61	1.7	-9.99	8.8	10.8	4	7
60.6	1.7	-9.99	8.8	8.2	4	10
60.6	3.7	-9.99	8.8	8.2	3.5	8
60.6	-4.9	4.7	8.8	10.3	3.5	7
60.4	1.2	5.1	7	15	2	4
59.6	2.2	2.3	7.7	4.6	3.5	9
59.5	1.6	-9.99	7.7	3.6	4	8
59.2	1.5	-9.99	7.7	11.3	3.5	7
59.1	-11.7	4.6	10.3	1	3.5	7
58.7	1.4	-9.99	10.3	8.2	2.5	5
58.4	1.9	-9.99	10.3	9.3	2.5	8
57.7	0.9	-9.99	10.3	6.2	2.5	7
57.7	1.4	-9.99	10.3	6.2	2	7
57.7	1.8	-9.99	10.3	3.1	2.5	7
57.6	9.5	-9.99	10.3	0	0	0
57.2	0.8	-9.99	10.3	5.1	2.5	7
57.2	-143	3	5	3.1	2	6
57.1	1	-9.99	5	3.1	2.5	8
57.1	2.1	-9.99	5	3.1	2	7
57	1.8	-9.99	5	1	2.5	5
56.4	-13.7	-9.99	5	7.7	3	7
55.4	-12.2	5.4	10.9	11.3	3	7
55	-10	4.7	10.2	6.2	3.5	7
54.6	179.7	4	3	13.9	2	6
54.4	-132.4	4.4	6.6	13	2	6
54.2	-169.1	4	3	6.2	2	5
54.2	-134.3	3.6	7.4	14	3	7
54.1	-45.1	7	5	15.9	4	7
54	-23	6.5	8	11.3	4	12
54	-3.8	-9.99	8	6.2	0.5	3
53.9	-3.6	-9.99	8	4.1	0.4	3
53.8	-3.5	-9.99	8	6.2	0.5	3
53.6	-131.1	5.1	7.4	10	1.5	7
53.5	-5.4	5.5	10.3	8.7	1.5	4
53.4	1.7	-9.99	10.3	8.7	2	5
53.2	3.9	-9.99	10.3	10.8	3	4
53.1	2.8	-9.99	10.3	6.2	2.5	5
53.1	-137.2	6.1	6.1	17	3	10
53.1	-15.9	7	11.4	9.3	4.5	8
