Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
68.9	12.1	6.5	6	15	4	7
68.7	11.5	5.5	7.1	16	5	8
65.3	7.3	6.8	7.7	10.8	3	8
64.3	7.8	5.2	7.6	9.3	3	8
63.2	7.7	-9.99	7.6	2.1	0.2	10
61.6	1.3	-9.99	7.6	12.3	3	6
61.2	1.1	-9.99	7.6	12.3	2	6
61.1	1	-9.99	7.6	10.8	2.5	6
61	1.7	-9.99	7.6	9.8	2	6
60.7	-2.6	-9.99	7.6	12.9	3	7
60.6	3.7	4.3	4.6	8.2	2	8
60.5	-4.9	9.2	9	11.8	4	7
59.7	1.6	-9.99	9	6.2	1.5	7
59.6	2.2	-9.99	9	4.1	1.5	8
59.2	1.5	-9.99	9	6.2	1.5	9
59.1	-11.7	8.2	9.6	10.3	5	8
58.9	4.6	4.4	5.5	0	0	0
58.7	1.4	-9.99	5.5	3.6	2	9
58.7	-4.6	7.2	7.5	12.9	1.5	4
58.4	1.9	-9.99	7.5	4.6	1	8
58.3	0.8	-9.99	7.5	3.6	1.5	10
58.1	-148.1	0	5	15.4	3	9
57.9	0	-9.99	5	5.1	0.5	5
57.7	0.8	-9.99	5	3.6	1	6
57.7	0.9	-9.99	5	3.6	1	6
57.7	1.1	-9.99	5	1	1	7
57.7	1.8	-9.99	5	1.5	1.5	3
57.3	2	-9.99	5	3.6	1	5
57.2	0.8	-9.99	5	4.6	1	5
57.2	1.6	-9.99	5	2.1	1	6
57.2	2.2	-9.99	5	2.6	1	5
57.1	1	-9.99	5	4.1	1	6
57.1	2.2	5	6.4	7.7	1	4
55.4	-12.2	-9.99	10.7	3.6	3.5	9
55.3	14.4	2.9	3.6	3.1	0.4	2
55.2	-12.5	-9.99	3.6	4.6	1.5	3
54.7	12.7	0.2	0.4	6	0.5	5
54.4	-132.4	-9.99	5.5	14	2	6
54.2	-134.3	-9.99	5.8	12	3	8
54	0.9	-9.99	5.8	5.1	1	5
53.9	-138.9	-2	5.1	9	3.5	10
53.9	-135.4	-9.99	5.5	14.9	4	7
53.8	-128.8	-9.99	4.7	10	0.5	3
53.7	1.1	-9.99	4.7	4.6	1	5
53.6	-131.1	-9.99	5.9	7	1.5	6
53.4	1.7	-9.99	5.9	3.1	1	5
53.1	2.8	-9.99	5.9	4.1	1.5	5
53	2.2	-9.99	5.9	5.1	1	5
52.9	-12.8	-9.99	5.9	10.8	1.5	3
52.5	-132.7	0.4	6.3	8	2.5	6
52.4	-129.8	-2.9	6.3	15	2.5	6
52.4	-4.7	5.8	7.4	6.2	0.5	3
51.9	-167.6	4	2	11.8	3.5	7
51.8	169.5	4	3	9.3	3.5	12
51.8	-131.2	3.5	6.9	5	2.5	8
51.7	-6.7	7.5	8.4	4.6	1	5
51.6	-5.1	5.2	8	5.7	1	7
51.5	-6.7	-9.99	8	5.1	0.5	2
51.4	2	5.3	7.7	9.8	1	6
51.4	-128.8	2.8	6	5	2.5	10
51.4	-7.9	-9.99	6	2.6	1	7
51.2	162.9	4	3.5	14	4	14
51.2	-10.6	9.5	10.8	1	2	8
51.1	1.8	5.4	7.8	8.7	1.5	6
50.9	-136.1	2	6.2	2	4	10
50.9	-129.9	3.9	7.1	8	3	12
50.4	0	4.5	8.3	10.3	0.5	5
50.4	-15.8	9	11	6.2	2	3
50.1	-12	11	11	5.7	0.5	10
50.1	-6.1	7.8	9.4	7.2	1.5	9
49.9	-152.6	3.5	4	14.9	6.5	9
49.9	-125	4.4	6.5	10	1	4
49.9	-2.9	5.5	9.1	9.8	1	6
