Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
73.9	25.3	-5.5	4.1	10	2	5
70.5	17.2	-1	6	5	1	2
70.5	17.3	-5	5.3	5	0.5	4
70.3	16.7	-8	0	10	1.5	4
68.4	16.9	0.6	-0.6	7	0.5	3
65.3	7.3	1.3	7.7	5.7	1.5	7
63.2	5.2	-9.99	7.7	1	1.5	8
61.6	1.3	-9.99	7.7	3.6	2	6
61.2	1.1	-9.99	7.7	3.6	2	6
61.1	1	-9.99	7.7	5.1	2	6
61	1.7	-9.99	7.7	5.1	1.5	6
60.6	1.7	-9.99	7.7	0.5	2	8
60.6	3.7	-9.99	7.7	5.7	2	7
60.6	-147.4	-9.99	7.7	2.6	0	0
59.7	-1	2.4	7.5	12.9	2	6
59.6	2.2	3.6	8.8	5.1	1.5	6
59.5	1.6	-9.99	8.8	5.1	2	5
59.2	1.5	-9.99	8.8	8.2	1.5	5
59.1	-11.8	6.6	9.4	9.3	2.5	6
58.7	1.4	-9.99	9.4	7.7	1.5	4
58.4	1.9	-9.99	9.4	8.7	2	6
58.3	0.9	-9.99	9.4	9.3	2	6
58.2	20.2	2	4	12	1	3
58	-0.3	-9.99	4	10.8	1.5	5
57.7	0.9	-9.99	4	7.7	1.5	5
57.7	1.4	-9.99	4	6.7	2	5
57.7	1.8	-9.99	4	9.8	1.5	5
57.2	0.8	-9.99	4	9.8	2	4
57.1	1	-9.99	4	7.7	2	5
57.1	2.1	-9.99	4	8.2	2	5
57.1	2.3	4.5	6	12.3	2	7
57	1.8	-9.99	6	7.7	2	3
57	2	-9.99	6	8.7	2	5
57	-142.6	6.5	5	11.8	4	10
56.7	2	-9.99	5	8.7	3.5	7
56.4	-157.1	-4	3.2	22.1	2	3
55.2	-16.7	6	10	8.7	2	8
55.1	-12.7	6.2	10.4	3.1	2	7
54.8	-158.2	-9.99	10.4	17	5	14
54.4	-132.4	9	7	16	3	8
54.2	-134.3	8.2	7.7	12	4.5	10
54	-156.8	-9.99	7.7	15.4	5	10
54	-139.7	5.6	5.6	11.3	4.5	14
54	-3.8	-9.99	5.6	5.1	0.5	3
53.8	-3.5	-9.99	5.6	3.1	0.4	3
53.7	0.4	7.8	6.5	8.7	2.5	8
53.7	-151.6	4	4	11.8	4	8
53.6	-131.1	8.1	8.2	17	4	9
53.5	-148.3	5	3.3	6.7	1	8
53.4	1.7	-9.99	3.3	6.7	1.5	5
53.1	2.8	-9.99	3.3	8.7	1.5	5
53	2.1	-9.99	3.3	8.7	1.5	5
52.7	-22.3	6	9	5.7	1	8
52.5	-132.7	8.4	8.1	16	5	8
52.4	158.4	-9.99	8.1	0	0	0
52.4	-129.8	9	8.2	16	5	9
52.4	-4.7	6.4	6.4	5.1	1	4
52.2	-139.4	8	6.5	14.4	4	7
51.8	-131.2	8.3	8.6	17	5.5	8
51.7	-6.7	7.4	8.2	4.1	1	5
51.6	-5.1	7.3	7	5.1	1.5	5
51.4	2	5.2	6.6	14.9	1	6
51.4	-128.8	9	8.2	16	4	7
51.4	-7.9	-9.99	8.2	4.1	1	5
51.3	-2.1	13	10.2	9.3	1	4
51.2	-10.5	7.1	10.2	1	2	7
51.1	1.8	5.4	6.8	11.3	1.5	6
50.9	-136.1	7.7	7.4	7	3.5	11
50.9	-129.9	8.7	8.7	17	4.5	9
50.6	-136.1	-9.99	8.7	11.3	4	8
50.5	-131.8	8	10	20.6	7	10
50.4	0	6.8	7.7	13.4	1.5	7
50.1	-6.1	8.5	8.8	4.1	1.5	7
50	-143.2	-9.99	8.8	7.2	5	18
49.9	-125	8.8	8.2	8	0.5	4
49.9	-2.9	8.3	8.6	7.7	1	7
49.8	-146.8	6	6	3.6	4	10
49.7	-5.9	10	9	4.6	1	4
49.7	-3.1	8	9	5.7	0.5	7
49.1	158.6	-2.5	2	4.6	0.5	2
49.1	-129.4	-9.99	2	14.9	2	6
49	149.7	-3	2	9	0.5	3
48.9	154.6	-4.5	2.1	7	1	4
48.9	-20.3	9	11	4.6	3.5	6
48.8	-126	9.5	9.7	9	2	13
48.6	-136.9	9	6.8	11.3	4	9
48.5	-125	11	12	6.7	1.5	5
48.4	-133.9	9.2	8.2	10	4	12
48.1	-125.2	-9.99	8.2	6.2	2	10
47.5	153.4	-2.5	-0.3	4.1	1	7
47.5	-8.4	10.1	11.6	8.7	2	7
47.1	153.8	0	1	6.2	1.5	12
46.7	-48.7	1.3	0.5	6.7	1.5	9
46.4	-53.4	-9.99	0.1	10	2.5	14
46.4	-48.4	0.7	1	6.7	2	8
45.6	-23	10	14	9.8	2.5	14
45.2	-5	11	11.7	7.7	2	6
45	-43.2	-9.99	11.7	7.2	2	6
44.7	-36.8	9	12	5.1	1	12
44.6	149.4	-9.99	12	17	5	5
44.5	-63.4	2.4	0.5	12	3	11
44.3	-17.1	9.6	13.5	9	2	6
44.2	-57.1	-9.99	3.1	11	3	11
44.1	147.9	-9.99	3.1	15	3	5
43.9	-60.2	-9.99	2.3	15.9	2.5	9
43.8	151.8	-0.5	2	12.3	2	10
43	-58	8.4	8	10	3	11
42.9	-51.5	4	2.1	0	2.5	13
42.8	-19.2	-9.99	2.1	15.9	3	5
42.5	-64	8.3	5.4	15	3	10
42.2	-62	7.6	3.3	16	4	10
41.5	161.5	9	2	15.4	6	14
41.1	-66.9	6.5	13.4	19.5	6	7
40.9	-129.5	-9.99	13.4	14	2.5	6
40.7	-57.6	16	19	15.4	4	6
40.6	-34	11.6	10.5	10	5	9
40.3	-132	-9.99	11	17.5	3	7
39.5	-57.5	-9.99	11	15.4	4	14
38.5	19.6	15	16	8.7	1.5	12
38.5	165.5	14	12	16.5	4.5	5
38.3	-123.9	-9.99	12	8.2	5	11
38	-128.6	13	13	9.8	2	9
38	-76.3	-9.99	13	8	0.5	3
37.7	10.5	-9.99	13	6.2	1	4
37.7	143.7	8.5	11	9.8	2	5
37.6	-76.3	5.6	3.6	8	0.5	2
37.4	129.8	9	12	12	2.5	8
37.3	-72.1	-9.99	12	12.9	3	4
37.2	7.4	15.5	15	6.7	1	10
36.8	12.8	15.2	15.2	6.2	0.5	2
36.8	-125.2	14	12	3.6	2.5	14
36.7	1.9	16	16	6.7	0.5	2
36.7	-132.7	15	14	13.9	3	6
36.5	-49.4	-9.99	14	9.3	2.5	8
36.3	-9.3	-9.99	14	10.3	3	6
36	-6.6	-9.99	14	7.2	3.5	5
35.4	175	14.4	14.4	9.3	2.5	4
35.2	140.8	14	16	5.1	1	5
35.1	19.2	15.5	17	5.7	1	5
34.6	151.9	12	17	11.8	2.5	10
34.6	-75.5	10	20	16.5	2	6
34.2	158.9	17	17	12.3	3	4
34.2	158.9	17	17	12.3	3	4
34.1	-121.6	-9.99	17	6.7	2.5	7
33.7	125.2	13	10	5.7	1.5	7
33.6	26.1	15	16.7	4.6	1	6
33.4	-44.6	17	18	8	3	5
33	-131.7	17	18	10.3	2.5	5
32.4	132.4	18.4	19.6	9	2	5
32.2	30.3	-9.99	19.6	12.9	2	6
31.8	-119.7	-9.99	15	8.7	4.5	14
31.8	-66.5	17	20	15.4	4	15
31.7	-35.7	17.8	19.2	12.9	2	7
31	167	19	17	12	2	9
31	170.9	20.1	16.4	8	1	3
30.2	-21	-9.99	16.4	7.2	3.5	10
30	-70.2	18	20.8	14.4	3	7
29.6	-138.6	20	20	13.4	3	6
29.6	-59	19.5	20	22.6	7	8
29.2	-146.6	22	18	5.1	3	7
29	-25.1	-9.99	25	11.8	3.5	9
28.9	-128.9	16.1	16.7	0	4.5	8
28.6	170.7	19	20	11.3	3	8
28.5	-61	21	23	12.9	2.5	12
28.2	136.9	19.2	21.2	9.3	3.5	7
28	-80.1	15	21	10.3	1	5
27.7	-89.1	15.3	20.3	1.5	0.5	3
27.6	-88.2	-9.99	20.3	1.5	1	3
27.6	-84.3	-9.99	20.3	5.1	1	5
27.4	-142.8	25	19.2	5.7	1	3
27.3	-90.7	15.2	20	5.1	0.5	4
27	-76.8	17.8	23.3	8.2	2	4
26.9	-79.7	18	25	7.2	1	2
26.4	53.3	21.1	20.6	6.7	2	4
26.4	-78.6	16.8	21.3	5.1	0.5	5
26.1	-79.4	-9.99	26	9.8	2	5
26.1	-79.2	-9.99	26	10.3	2	7
26	120.8	-9.99	26	10.3	2	8
25.8	123.1	26	24.8	11.8	2	7
25.8	123.1	26	24.8	11.8	2	7
25.6	124.2	24	26	9.8	1.5	4
25.6	-74.3	18	24	9.3	1.5	7
25.3	124.6	-9.99	20	4.6	1	4
24.9	-140	22	21	9	3	9
24.5	120.2	22.5	24	4.1	1	5
24.1	-87.3	18	24	6.7	1	6
23.8	155.3	22.2	23	5.7	1.5	7
23.8	155.3	22.2	23	5.7	1.5	7
23.5	123.5	25.5	24.9	3.1	1	10
23.3	-18.6	-9.99	24.9	7.2	1.5	4
23.1	-153.3	20	24.4	14.9	6	12
23.1	-86.5	21	28	10.3	2	3
22.6	116.7	-9.99	28	5.1	1	2
22.5	-77.8	19.9	22.8	7.2	0.5	2
21.5	38.1	24.5	28.2	6	1	5
21.3	-166.5	21.8	24.5	11.3	2	9
21.2	38	-9.99	24.5	1.5	0.5	3
20.5	-17.7	19.7	19.6	15	2.5	5
20.3	-68.1	27.2	26.1	6.7	1	4
20.2	-51.6	-9.99	26.1	10.3	1	10
19.3	117.7	24	25	4.6	0.5	4
18.2	-18.4	-9.99	27.7	11.3	1.5	6
17.7	119.4	25	25	3.6	1	7
17.7	-83.2	25	27	7.7	2	8
17	58	24	25	2.6	0.5	10
16.9	-60.4	30	29	3.6	1	2
16.9	-17.8	22.9	22.3	11.8	2	8
16.8	-70.7	28	26	9.3	1	10
16.1	41.3	24.5	26.3	4.6	0.5	5
16.1	146.1	26.5	27	9.8	2.5	4
16	-28.7	-9.99	27	6.7	2.5	8
15.6	-76.4	27	25.8	3.1	0.4	7
15.1	-76	25	29	8	0.5	2
14.6	67.2	26	29	3	1	3
14.2	52.3	26	27	4.6	1	6
14.1	-78.9	26.5	27	15.4	1	4
14	147.6	25.6	27.2	10.3	2.5	10
14	-41.5	-9.99	27.2	6.7	2	5
13.9	51.1	25.6	26	3.1	0.4	4
13.8	146.1	26.4	27.3	9.8	2.5	8
11.5	134.6	27.2	27.1	7.2	2	7
11.5	134.6	27.2	27.1	7.2	2	7
11.1	128.2	26.2	27.7	5.1	1.5	6
10.6	-61.6	-9.99	27.7	3.1	0.4	2
9.7	-20.6	25.1	25.6	3.1	2	4
8.7	109.3	27.5	27	4.6	1.5	7
7.8	127	27	28	7.2	1	5
7.8	127	27	28	7.2	1	5
7.6	143.6	-9.99	28	5.7	2	10
7.5	108.3	26.5	28.5	3.1	0.4	5
6.3	128.2	28.5	28.2	4.1	1.5	5
5.7	83.9	28.6	29	8.2	1	4
5.7	107	-9.99	29	5.1	0.5	2
5.5	140	31	30	9.8	3	5
5.1	143.2	29	30	8.7	2.5	9
5	80.3	27	29	7.7	1	8
4.9	0.1	29	28	4.1	0.4	6
2	102.1	-9.99	28	3.1	1	6
1.8	139.1	30.5	28	9.3	2.5	4
-1.7	83.8	27.5	26	0	1	8
-5.4	175.5	29.9	29.5	6.2	1	10
-6	147.8	-9.99	29.5	7.2	1	6
-10.2	122.6	29.1	30.1	6.7	0.5	6
-10.6	124.7	-9.99	30.1	9.8	2	3
-12.7	-159.8	27	29	6.2	2	12
-14.3	144.6	30.7	28.4	8.2	0.5	2
-15	65.7	28	30	7.2	1.5	9
-15.9	119.3	30.4	31	4.1	0.4	8
-16.4	-149.8	-9.99	31	2.6	1.5	3
-16.4	-149.8	-9.99	31	2.6	1.5	3
-16.8	93.8	25.5	26	6.2	0.5	2
-18.1	60.7	-9.99	26	6.7	2	10
-18.8	-166.2	-9.99	26	10.8	3.5	14
-19.2	5.7	24	21	4.6	2	17
-19.9	-38.4	-9.99	21	10.8	2	5
-21.5	-40	28	28	7.2	1.5	12
-23.2	-70.7	-9.99	29.8	5.1	0.5	5
-23.8	-74.4	21	21.1	6	2.5	9
-24.2	48.8	-9.99	21.1	12.9	3	7
-24.2	166.7	26.5	26.5	9.3	1.5	5
-24.6	-74.8	-9.99	26.5	6.2	2	12
-25.2	153.9	29	28	7.7	2	10
-25.3	158.6	26.8	26.5	1.5	1	4
-25.4	-134.1	26	26	10.8	3.5	6
-27.3	112.7	25	25.6	6.2	1	4
-30	176	24.4	24	5.7	1	5
-33.8	18.4	24	14.3	10.3	1	4
-34.8	19.4	21	15.5	7.7	1.5	5
-36.6	162.4	21	23	10.8	2.5	6
-37.5	128	-9.99	23	6.2	1	3
-39.3	121.5	-9.99	23	12.9	2.5	6
-41.2	-167.1	20	18	11.3	3.5	11
-48.7	-39.7	-9.99	9.3	14.4	3.5	7
-67.9	166.8	-3	-1.7	6.2	3	8
44.1	-69	2.9	3.1	11	1	4
44.1	-68.1	2	4.6	11	1.5	5
43.7	-69.4	3.4	4.1	9	1.5	11
43.5	-67.9	2.9	4.4	15	2.5	5
43.2	-70.4	3	3.5	10	1.5	11
42.5	-70.6	-9.99	3.7	9	2	11
42.3	-65.9	4	3	12	3	11
28.9	-78.5	16.4	21.4	10	2	7
28.5	-80.2	17.1	19.5	10	1	3
23.9	135.2	24	22.5	4.1	1.5	5
23.9	135.2	24	22.5	4.1	1.5	5
60.8	-148.3	2.3	4.2	5	0.5	3
60.2	-146.8	5.1	5.2	8	3	11
59.7	-143.4	5.7	6.7	13	5	11
58.2	-138	5.7	6	9	3.5	11
56.3	-148	4.8	4.9	8	4.5	15
55.9	-142.6	5.4	4.8	10	5	10
