Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
72.4	47.7	-9.99	12	11	1.5	6
71.2	22.7	2	5.7	12	1.5	4
64.7	5.8	6	10	10	2	6
63.5	5.3	-9.99	10	7.2	2	8
61.6	1.3	-9.99	10	9.8	3	6
61.2	1.1	-9.99	10	10.3	2.5	6
61.1	1	-9.99	10	8.2	2.5	6
60.8	1.7	-9.99	10	8.7	2	7
60.7	-2.6	-9.99	10	11.3	2.5	6
60.6	1.6	-9.99	10	7.7	2	6
60.6	3.7	1.6	4.2	4.6	1.5	7
59.7	1.6	-9.99	4.2	7.7	2.5	6
59.6	2.2	-9.99	4.2	7.7	2	5
59.5	1.5	-9.99	4.2	8.7	2.5	6
59.3	-144.2	6.5	4	8.7	2.5	6
59.2	1.5	-9.99	4	8.7	2.5	6
59.1	-11.7	8.5	9.7	14.4	3.5	7
58.7	1.4	-9.99	9.7	9.3	2.5	6
58.4	1.9	-9.99	9.7	8.2	3	7
58.3	0.7	-9.99	9.7	9.3	3.5	8
58	1.4	-9.99	9.7	8.7	2.5	6
58	-0.3	-9.99	9.7	9.3	2.5	6
57.9	0	-9.99	9.7	9.3	3	6
57.7	0.7	-9.99	9.7	8.7	2.5	6
57.7	0.9	-9.99	9.7	6.7	2.5	6
57.7	1.8	-9.99	9.7	8.7	3	6
57.6	1.1	-9.99	9.7	8.2	3	6
57.3	1.6	-9.99	9.7	8.2	3	7
57.3	2	-9.99	9.7	9.3	2.5	7
57.2	0.8	5.3	7.9	8.2	3	6
57.2	2.1	-9.99	7.9	4.1	2.5	6
57.1	2.2	-9.99	7.9	10.3	4	7
57	1.8	-9.99	7.9	7.7	2.5	5
57	1.9	-9.99	7.9	7.7	2.5	6
55.4	-12.2	9.1	10.7	10.3	2.5	6
54.7	-172	-9.99	10.7	12.3	2	10
54.6	-171.2	0	3	12.3	3	10
54.2	-134.3	5.9	6.8	8	3	17
54.1	-162	3.5	2	7.7	2.5	6
54.1	-162	3.5	2	7.7	2.5	6
54	0.9	-9.99	2	11.3	3	7
53.9	-138.9	4.5	4.8	10	3.5	10
53.7	1.1	-9.99	4.8	9.3	2.5	6
53.6	0.7	-9.99	4.8	9.3	2	6
