Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
75.5	17.4	-8.3	1.1	14	1.5	4
66	8.1	-9.99	1.1	4.1	2.5	8
65.3	7.3	2.9	8.6	4.1	2	7
61.6	1.3	-9.99	8.6	13.4	4	8
61.2	0.9	-9.99	8.6	12.9	4.5	8
61.2	1.1	-9.99	8.6	12.3	4	7
61.1	1	-9.99	8.6	13.4	4.5	8
61	1.7	-9.99	8.6	11.8	4	8
60.8	1.7	-9.99	8.6	11.8	4	8
60.7	1.7	-9.99	8.6	15.4	4	10
60.7	5.1	-9.99	8.6	2.6	0.3	13
60.7	-2.6	-9.99	8.6	17	8	9
60.6	1.6	-9.99	8.6	12.9	3.5	7
60.6	3.7	4.4	3.9	11.8	2	8
60.5	-4.2	-9.99	3.9	17	8.5	10
59.7	1.6	-9.99	3.9	10.8	3	8
59.6	2.2	-9.99	7	5.7	3	8
59.5	1.5	-9.99	7	6.2	3.5	8
59.2	1.5	-9.99	7	5.7	3.5	8
58.7	1.4	-9.99	7	7.2	3.5	8
58.4	1.9	-9.99	7	7.7	4	8
58.4	-0.2	-9.99	7	9.8	4	7
58	1.4	-9.99	7	6.7	4	8
58	-0.3	-9.99	7	5.1	4	8
57.9	0	-9.99	7	8.2	3	6
57.9	1.8	-9.99	7	7.7	3.5	8
57.7	0.7	-9.99	7	8.7	4	8
57.7	0.9	-9.99	7	9.3	4	8
57.7	1.8	-9.99	7	7.7	4	7
57.3	1.6	-9.99	7	6.7	3.5	8
57.3	2	-9.99	7	8.2	3.5	7
57.2	0.8	6.8	7.8	12.3	4	7
57.2	2.1	-9.99	7.8	8.7	3.5	7
57.1	0.9	-9.99	7.8	12.9	3.5	7
57	1.8	-9.99	7.8	10.3	3.5	8
57	1.9	-9.99	7.8	15.4	3.5	8
54.9	13.9	3	4.2	12	2	6
54.7	12.7	2.4	3.8	11	1	4
54.4	-132.4	7.3	8.3	12	2	5
54.2	-134.3	7.6	9	12	2.5	6
53.9	178.8	3	6	0	2.5	10
53.9	-138.9	8	7.7	14	3.5	7
53.6	-131.1	7.7	9.3	4	0.4	5
53.4	1.7	-9.99	9.3	13.9	3.5	7
53.2	179.7	2	4	5.7	3	8
53.2	-160.6	7.2	3.9	24.7	7.5	8
53.1	2.8	-9.99	3.9	12.9	3	7
53	2.1	-9.99	3.9	14.9	3	6
52.5	-132.7	9.1	9.5	11	2	5
52.4	-129.8	8.5	9.3	7	1	9
52.4	-4.7	6.1	8	15.4	3.5	6
52	-135.2	9	9	9.3	4	5
51.8	-131.2	9.4	9.9	9	1.5	5
51.6	-5.1	5.6	9.2	14.4	2	5
