Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
66	8.1	2.3	6.3	3.1	4	8
65.3	7.3	2.9	7.3	1	3	8
63.5	5.3	-9.99	7.3	6.2	2.5	8
61.6	1.3	-9.99	7.3	4.6	2.5	8
61.2	0.9	-9.99	7.3	2.1	2.5	8
61.2	1.1	-9.99	7.3	1	2.5	8
61.2	1.6	-9.99	7.3	2.1	2.5	7
61.1	1	-9.99	7.3	1.5	2.5	8
61	1.7	-9.99	7.3	1.5	2	8
60.6	1.6	-9.99	7.3	2.1	2	7
60.3	4	3	8	2	1.5	8
59.7	1.6	-9.99	8	5.7	2	7
59.6	2.2	-9.99	8	5.7	2	8
59.5	1.5	-9.99	8	4.6	2	8
59.2	1.5	-9.99	8	1.5	1.5	9
59.1	-11.7	6.7	9.8	10.8	3.5	7
58.7	1.4	-9.99	9.8	1.5	1.5	9
58	-0.3	-9.99	9.8	1	0.1	7
57.9	0	-9.99	9.8	1.5	0.1	6
57.9	1.8	-9.99	9.8	2.1	1	9
57.7	0.7	-9.99	9.8	1	0.1	8
57.7	1.8	-9.99	9.8	1.5	1	5
57.6	1.1	-9.99	9.8	1	1	8
57.3	1.6	-9.99	9.8	0.5	0.1	8
57.2	0.8	3.7	5.7	0.5	0.1	7
57.1	0.9	-9.99	5.7	1	0.1	7
57	1.9	-9.99	5.7	3.6	0.4	5
56.6	-15.3	8.1	10.3	13	4	7
55.4	-17	8.3	9.8	16	2	5
54.9	-13.2	7.9	10.2	12.3	5	7
54.4	-165.7	7.5	3	10.8	2	5
54.4	-132.4	6.3	7	4	1.5	15
54	1.1	-9.99	7	5.7	1	4
53.9	-138.9	5.5	5.7	6	2	11
53.7	1.1	-9.99	5.7	5.1	1	4
53.6	0.7	-9.99	5.7	5.7	1	4
53.6	-131.1	6.7	7.5	8	1	5
53.5	-154	-9.99	7.5	9.8	2	10
53.5	-148.7	5	4.2	4.1	2	10
53.4	1.7	-9.99	4.2	6.7	1	4
53.4	151.4	-9.99	4.2	11	1.5	6
53.2	151.2	-9.99	4.2	10	1	6
53.1	2.8	-9.99	4.2	3.1	1	4
53.1	172.3	1	5.1	10.3	2	8
53.1	-16	10.9	10.6	13.4	3.5	7
53	2.1	-9.99	10.6	6.2	1	4
52.6	-142.4	5	7	7.7	1.5	4
52.5	-132.7	6.1	6.9	7	2	14
52.4	-129.8	7.5	6.9	9	1.5	6
52.4	-4.7	3.5	6	8.2	1.5	5
51.8	-131.2	8	7.7	4	2	15
51.5	-42.6	7.2	12.1	9.3	1	3
51.4	167.1	1.5	0	9.3	3.5	6
51.4	-128.8	-9.99	0	6	2	14
51.4	-7.9	-9.99	0	14.9	3.5	6
51.2	1.8	2.9	5.6	10.3	0.5	5
50.9	168.5	2.5	3	9.8	5	11
50.9	-129.9	8.1	7.8	9	2.5	14
50.4	0	3.7	6.8	11.3	1	7
50.4	-19.8	13	11	13.9	3	8
50.1	-6.1	5.9	8.9	17	3	8
49.9	-2.9	5.1	8.3	14.4	2.5	7
49.7	-127.9	8.6	8.5	4	1.5	15
49.2	-4.5	6.4	10.5	20.6	4	8
49	-16.3	11.4	11.7	9.8	3.5	7
49	-4.8	9.2	9.5	14.9	3	6
48.8	-126	11.3	9.9	2	1.5	16
48.5	-44.5	-9.99	9.9	7.7	2.5	4
48.4	-133.9	7.4	7.1	5	2	14
48.4	-127.6	11.3	8	3.1	1.5	6
48.3	-13.6	12.1	12	6.2	3.5	8
47.9	-11.6	-9.99	12	12.3	2.5	7
47.5	-143.6	8	7	5.7	1.5	10
47.5	-8.4	10.7	11.6	13.4	4	7
47.3	141.8	-9.99	11.6	9	1	4
46.7	-48.7	-0.1	0.6	18	4	7
46.7	-48	0.5	-0.1	18	3.5	7
46.7	-48	0.1	-0.1	14.4	4	8
46.4	-174.7	6	4	12.3	3	10
46.4	-53.4	1	1.6	4	1.5	14
46.4	-48.4	0.5	0.5	17	4	8
46.1	156.5	-9.99	0.5	15	2	6
46.1	-8.5	-9.99	0.5	10.8	2	3
45.9	140.1	4	7	12	2	6
45.7	-135.9	-9.99	7	7.7	2	7
45.6	137.7	-0.8	1.8	12	1	4
45.6	151.1	3	2.1	6	1	3
45.3	-5	11.6	12.3	12.3	3.5	7
44.5	-63.4	2.8	2.3	4	0.4	10
44.2	-57.1	0.5	3	5	1	6
43.6	-49	1	0	10.3	1.5	4
43.4	7.8	11.8	13	4.6	1.5	7
43.3	-9.6	-9.99	13	15.4	2	10
43.1	152.2	4	1	9.3	2	10
42.8	-25.8	13	15	18	4	25
42.5	-64	0.1	7.1	4	0.4	7
42.4	-10.1	14	14	12.3	3.5	12
42.3	-62	7.1	8.7	3	1	5
42.3	-17.6	14	14	13.9	4.5	6
42.1	4.7	-9.99	14	5.1	1	5
41.6	-66.8	7	8.8	8.7	1.5	6
40.5	-60.8	-9.99	8.8	5.1	1	4
40.4	-67.4	10.9	10.1	4.6	1	6
39.6	130.8	-9.99	10.1	6.2	1	9
39	-62.4	10	15.2	2.6	0.3	3
38.8	15.1	-9.99	15.2	9.3	2.5	6
38.4	-124.6	-9.99	15.2	10.3	2	5
38.2	11.8	15	16	11.3	1	2
38.1	-34.3	15	16	10.3	3	7
38	-76.3	9	7.8	2	0.2	2
37.9	-31.3	15	16	14.4	6	20
37.7	-56.7	14	19	12.3	5	10
37.6	9.4	14	13.8	6.7	2	8
37.6	-74.3	10.2	8	7.7	2	6
37	-76	10.2	8.2	2	0.2	5
36.7	-16.7	17	15	14.9	4.5	10
36.6	167.7	-9.99	15	16.5	2.5	7
36.5	151.9	15	14	17	1.5	4
36.5	151.9	15	14	17	1.5	4
36.3	152.4	15	22	13.9	3	5
36.3	152.4	15	22	13.9	3	5
36.3	-155.4	14	14	19	6	9
36	-15.4	17	15	12.3	3	8
36	-7.3	17	17.7	9.8	2	4
35.3	22.3	17	16.2	8.2	1.5	4
35.2	163.9	16	14	11.3	1.5	5
34.8	-124.4	16	13.3	4.1	2.5	7
34.8	-124.4	16	13.3	4.1	2.5	7
34.6	128.9	-9.99	13.3	8.2	1	6
34.4	-69.5	20	19	20	3.5	6
33.4	-128.7	15	13	16	2	6
33.3	136.2	12	18	13.4	2	6
32.6	123.2	10	11	8.2	0.5	2
32.5	-138.2	20	17.2	4.1	1.5	5
32.4	-39.6	17.8	18.8	2.6	3.5	12
32.4	-19.3	19	19	5.7	2.5	10
31.9	-34.7	-9.99	21	4.6	2	6
31.3	-118	13	18	4.1	1.5	8
30.9	170.3	22	17.5	6	1	3
30.9	170.3	22	17.5	6	1	3
30.8	-80.3	21.8	20	4.1	1.5	4
29.8	32.5	21.5	18.8	5.1	1	2
29.8	-34.8	-9.99	18.8	6.2	1	4
29.6	-131.1	18.3	16.1	7.7	2.5	12
28.7	-94.2	20.5	20	4.6	0.5	2
28.6	-26.1	-9.99	20	4.6	2	6
28.4	122.5	-9.99	20	7.2	1	6
28.2	-88.5	26	22	4.1	0.5	4
28	136.6	18.6	22.3	6.7	2	8
27.7	129.7	24	26	11.3	1	2
27.7	129.7	24	26	11.3	1	2
27.7	-48.6	22	21.8	7.2	1	9
27.3	-58.2	-9.99	21.8	8.7	2.5	10
27.2	121.9	-9.99	21.8	6.2	3	6
27.1	-77	23	23	7.2	1.5	12
26.7	-90.5	22.5	22.8	4	1	5
26.3	-125.2	21	19	3.1	3.5	12
26.2	-79.2	23	26	7.7	1	3
25.9	134.2	23	23	3.6	1	7
25.9	-151.5	19.6	22	12.9	3.5	9
25.7	-79.9	-9.99	22	8.2	0.5	2
25.6	128.7	22	28	20	1.5	3
25.6	128.7	22	28	20	1.5	3
25.3	-139.2	-9.99	28	11.3	2.5	14
25.2	-44.1	21.4	23.9	3.1	2	12
23.9	145.8	25	25	3.6	1	7
23.9	145.8	25	25	3.6	1	7
23.8	-81.5	25	25	9.3	1.5	5
23.7	-81.7	24	25	9.3	2	4
23.7	-43.2	23	24	4.1	2.5	12
23.5	-80.6	24.4	25.6	9.8	1	4
22.9	-155	21.1	21.7	12.3	2.5	7
22.2	-17.3	20	19.2	7	0.5	4
22	119.7	23.8	26	6.7	2	5
21.8	-76.9	24.9	25.3	14	2.5	4
21.7	-85.5	25.5	26.4	8.7	2	7
21.4	-67	23.9	25.6	12.3	4.5	12
21.1	-75.2	24.3	27.4	20.6	2.5	8
19.6	-171	25.8	24.3	12.3	3	7
19.6	-171	25.8	24.3	12.3	3	7
18.8	-19.7	19	18	8.2	1	4
18.6	-82.1	27	25	7.7	1.5	5
18.5	-66.1	24.5	25.9	5	1.5	7
18.3	-65	25.5	26.5	7	1	4
18.3	-64.8	25.9	26.6	8	1	7
18.2	-94.4	31	25	6.7	1	6
18.1	40.1	-9.99	25	4.1	0.4	3
17.9	-66.5	26.4	26.8	7	1	7
17.6	57.9	25.1	26.8	4	0.4	4
17	-21.4	21	20	7.7	2.5	10
16.7	116.5	27	28.5	8.2	2	6
16.7	116.5	27	28.5	8.2	2	6
16.2	130.8	27	28.1	7.7	0.5	5
15.9	-57.5	26.6	27.3	9.3	2.5	8
15	68.9	-9.99	27.3	3	1	5
14.9	112.4	28.5	28	1.5	1.5	5
13.4	84	26.4	28.4	2	1	7
13.1	-72.5	-9.99	27.8	16.5	5.5	8
13	47.3	26.9	27.1	3.1	2	5
12.7	131	28	29	9.3	2	12
12.3	-66.2	26	28	12.3	1.5	10
11.7	-74.2	-9.99	28	12.9	2	6
10.5	-79.3	27	29	10.3	1	5
10	74.7	28	30	6.7	1	6
9.8	-79.3	27.5	26	9.8	2.5	5
8.2	73.3	-9.99	26	4	1	6
7.9	73.4	28.5	29	4.6	0.5	8
5.9	88.8	29	31	2.6	0	0
5.8	79.5	27.3	29.3	8.7	1	6
5.4	127	26.1	29	6	1	6
2.9	-81.4	26	23	4.1	0.4	3
2.5	147.8	28	31	4.6	1.5	10
2.5	147.8	28	31	4.6	1.5	10
0.9	119.3	30.5	29.5	3.1	0.4	4
0.3	-9.2	28.6	29.9	4.1	0.4	5
0.1	-42.7	27	28	8.2	2	7
-0.9	139.7	30.5	28.5	4.6	1	3
-7.1	81.6	26	29.9	3.6	1.5	4
-7.3	7.8	28	28	6.2	2	6
-7.5	-134.6	31	31	6.7	2	12
-9.6	134.6	29	29	5.1	1	7
-10.5	-121.6	29	28	11	2	5
-12.1	106.9	28	31	2.1	1.5	3
-12.4	8.3	23	26	5.1	1	8
-13.9	74.9	26.8	29.1	4.1	0.4	5
-14.5	70	28.1	30	7.7	1	3
-15.3	72.7	28	29	11.8	1	6
-16	-130.9	30	29	8.2	2.5	8
-16.4	176.4	29.5	26.7	6.2	0.5	3
-16.7	-77.9	-9.99	26.7	8.2	1	4
-19	167.4	28	30	5.7	1	6
-19.8	167.4	-9.99	30	9.3	1	2
-20.1	118.4	-9.99	30	11.3	1.5	5
-21	71.8	24.5	28	12.9	3	8
-21.7	-156.8	26	27	5.7	1.5	7
-22.4	54.9	23	26.5	9.8	3	5
-23	-70.4	20	19	6.7	1.5	5
-25.2	-44.9	-9.99	19	14	2	11
-27	54.7	-9.99	19	7.2	3	7
-28.3	41.9	22	26	9.8	2.5	8
-28.4	-47.3	24.1	24.6	7	1.5	11
-28.9	159.3	21	24	3	1	2
-29.1	-48.8	23	23.2	9.8	1	6
-29.2	153.6	24.5	24.3	8.2	1.5	6
-30.2	55.1	21	23	6.2	2	8
-32.1	32.8	23	23	6.7	3	12
-32.4	30.9	24	24	15.4	4	10
-32.6	17	16.5	12	10.3	2	10
-34.2	15.1	18.3	17.5	13.9	4	12
-34.3	-6	17	15	12.3	4	14
-35.4	134.4	19	21	7.7	4	10
-37.9	77.5	14.5	17.4	6.7	2	5
-38.6	141	-9.99	17.4	11.3	5	5
-39.8	108.6	14	15	4.1	2	8
-41	149.9	16	20	9.3	4	4
-60.6	-42.2	-7.4	-1.3	11.3	0.5	3
44.1	-69	5.4	4.4	7	0.5	4
44.1	-68.1	5.4	4.6	7	0.5	3
43.7	-69.4	6.4	4.8	8	1	4
43.2	-70.4	6.7	5	9	1	5
42.5	-70.6	7	5.2	7	0.5	4
42.3	-65.9	5.3	4.4	4	0.4	8
41.1	-72.7	7.1	4.3	8	0.5	2
60.6	-146.8	2.3	3.5	5	0.5	8
59.7	-143.4	2.8	5.5	3	1.5	8
59.5	-148	2.1	4.6	4	1	8
58.2	-138	4.7	6	2	1.5	11
57.9	-154.3	2.5	3	5	0.5	3
56.3	-147.9	4.7	4.4	2	1.5	12
53.9	-160.8	2.8	4.2	4	1	10
48.5	-124.7	10.5	8.6	2	1	15
48.1	-87.8	-4.8	1.1	15	2.5	6
47.6	-86.6	-3.9	1.8	16	3.5	8
47.3	-89.8	-2.3	0.3	11	2	6
46.2	-124.5	9.8	10.7	8	1.5	16
45.9	-125.8	8.5	9.7	3	1.5	16
44.6	-124.5	10.5	10	7	1.5	16
42.8	-124.8	10.3	10.3	3	2.5	16
42.6	-130.5	10.1	10.1	3	2	15
42.3	-70.7	6.1	4.4	6	0.5	3
41.9	-124.4	10.7	9.6	1	2	16
41.4	-70.2	7.6	5.6	7	0.5	3
40.7	-124.6	11.6	11.2	2	2.5	16
40.7	-72	6.9	5.1	7	0.5	4
40.4	-73.7	7	6	11	1	4
40.2	-73.2	6.9	5.5	11	1	5
39.6	-72.6	9.5	6.8	10	1.5	6
39.4	-124	11.5	10.6	6	2	17
38.5	-74.7	7.6	6	6	1	5
38.2	-123.3	11.1	10.6	4	2	17
37.8	-122.8	11.3	11	3	1.5	17
37.4	-122.9	11.7	11.5	6	2	17
36.8	-122.5	12.3	12.4	7	2	17
35.7	-121.9	11.7	12.8	6	1.5	17
35	-121	11.5	13.6	4	1.5	19
34.3	-120.5	11.9	13.6	4	1.5	9
34.2	-119.8	12.9	14.7	6	0.5	9
34.2	-76.9	16	13.7	9	2	7
33.7	-120.2	12.5	13.8	5	1.5	10
33.7	-119.1	13.4	14.8	6	1.5	10
33.4	-77.7	17.5	14.7	8	2	4
32.5	-118	14.7	16.4	6	1	10
32.4	-119.5	13.5	14.5	5	1.5	9
32	-69.5	18.2	19	9	1.5	5
31.9	-74.8	20.9	21.1	13	3	7
31.4	-80.9	17.1	14.9	7	1	5
30.1	-87.6	20	20.3	5	0.5	5
30	-80.5	20.9	20.3	10	1	5
28.8	-86	20.9	23	5	1	5
28.5	-84.5	20.1	19.5	3	1	5
28.5	-80.2	22.2	21.2	9	1	4
27.9	-95.4	22.3	22	4	0.5	6
27.5	-71.5	20.9	21	7	1	16
27	-96.7	20.9	19.9	3	1	6
