Lat	Long	air_temp	sst	wind_speed	wave_height	wave_period
71.2	23.1	2	5.1	15	1	3
65.3	7.3	7.9	7.9	13.4	3.5	7
63.5	5.3	-9.99	7.9	14.9	3.5	8
61.6	1.3	-9.99	7.9	10.3	3	6
61.2	1.1	-9.99	7.9	11.3	2.5	7
61.1	1	-9.99	7.9	9.8	2.5	6
60.8	1.7	-9.99	7.9	8.7	1.5	8
60.7	-2.6	-9.99	7.9	12.9	3	7
60.6	1.6	-9.99	7.9	5.7	1.5	6
60.6	3.7	5.8	3.7	6.7	1.5	7
59.8	1.7	-9.99	3.7	5.1	1.5	9
59.6	2.2	-9.99	3.7	5.1	1.5	7
59.5	1.5	-9.99	3.7	7.7	1.5	8
59.2	1.5	-9.99	3.7	7.2	1.5	7
59.1	-11.7	8	9.8	7.7	4	8
58.7	1.4	-9.99	9.8	7.2	1.5	6
58.4	1.9	-9.99	9.8	9.3	1.5	7
58	1.4	-9.99	9.8	8.7	1.5	5
58	-0.3	-9.99	9.8	7.7	1	4
57.9	0	-9.99	9.8	9.3	1	4
57.9	1.8	-9.99	9.8	7.7	1.5	5
57.9	-12	8	9.8	15	0.5	6
57.7	0.7	-9.99	9.8	9.3	1.5	5
57.7	0.9	-9.99	9.8	9.8	1.5	5
57.7	1.8	-9.99	9.8	8.2	1.5	4
57.6	1.1	-9.99	9.8	10.8	1	4
57.3	1.6	-9.99	9.8	8.7	1.5	5
57.3	2	-9.99	9.8	6.7	1.5	5
57.2	0.8	8.8	7.3	6.2	1.5	5
57.2	2.1	-9.99	7.3	7.2	1.5	5
57.1	0.9	-9.99	7.3	9.8	1	4
57	1.8	-9.99	7.3	6.7	1.5	4
57	1.9	-9.99	7.3	11.3	1.5	4
56.9	-154.1	-7.2	1.1	9.3	0.5	2
56	-141.1	1.1	1.7	9.8	1	6
55.4	-12.1	10.9	10.4	6.2	3	7
54.4	-132.4	5	5.9	3	3.5	12
54.2	-134.3	3.5	5.6	6	4.5	14
54.1	-163	2	2	15.9	4	12
54.1	-159.1	1	2	9.8	2	7
54	0.9	-9.99	2	4.6	0.5	5
53.9	-138.9	2.4	4.6	8	3.5	12
53.7	1.1	-9.99	4.6	3.6	0.4	5
