rgn_id,power
1,120.23
2,27.72
3,0.01
4,0
5,122.22
6,29.14
7,0.01
8,0
9,124.26
10,71.12
11,70.15
12,73.11
13,72.11
14,75.18
15,74.14
16,77.33
17,76.25
18,79.56
19,78.44
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.7
31,0.69
32,0.68
33,0.68
34,1.59
35,0.72
36,0.72
37,0.71
38,0.67
39,0.66
40,116.37
41,118.28
42,112.68
43,114.51
44,110.89
45,0
46,107.43
47,109.14
48,104.11
49,105.75
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,3.05
61,3.08
62,3.12
63,3.16
64,3.19
65,3.23
66,3.27
67,3.31
68,3.35
69,3.39
70,176.55
71,173.31
72,170.14
73,167.04
74,164
75,161.1
76,158.21
77,155.41
78,183.32
79,179.91
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,63.83
91,62.99
92,65.56
93,64.69
94,67.34
95,66.44
96,69.2
97,68.26
98,59.78
99,44.56
100,0.01
101,0.01
102,0.01
103,0.01
104,0.65
105,0.65
106,0.01
107,0.17
108,0.01
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,81.88
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,139.87
141,142.31
142,0
143,137.48
144,130.65
145,0
146,126.34
147,128.47
148,149.97
149,152.65
150,85.53
151,84.29
152,88.08
153,86.79
154,90.73
155,89.39
156,93.5
157,92.1
158,96.37
159,94.92
160,0
161,0
162,28.06
163,0
164,0
165,0
166,0
167,0
168,60.56
169,61.36
170,0
171,10.31
172,10.19
173,10.07
174,9.95
175,6.06
176,3.01
177,0.01
178,0
179,0
180,18.43
181,0
182,11.1
183,11.24
184,28.78
185,31.47
186,29.52
187,28.41
188,29.89
189,30.28
190,0
191,0
192,0
193,0
194,0
195,0
196,30.67
197,0
198,10.44
199,0
200,0
201,0
202,132.87
203,10.57
204,83.08
205,135.15
206,0
207,0
208,147.38
209,144.8
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,31.07
222,10.7
223,0
224,102.49
225,0
226,0
227,186.81
228,62.17
229,0
230,0
231,99.37
232,100.92
233,0
234,0
235,0
236,0
237,97.86
238,0
239,0
240,0
241,0
242,0
243,0
244,0.01
245,0.01
246,0
247,0.01
248,10.96
249,10.83
250,80.71
