rgn_id,sector,year,value
1,cf,2001,19880.9149
1,cf,2002,18756.9039
1,cf,2003,16835.1694
1,cf,2004,18015.025
1,cf,2005,16922.8122
1,cf,2006,16997.6408
1,mar,2005,4129.2711765
1,mar,2006,4040.6058441
1,mar,2007,6365.9175102
1,mmw,1998,268.1
1,mmw,2008,587.905
1,tour,2005,1789993.83154
1,tour,2006,1917973.12954
1,tour,2007,1777680.95447
1,tour,2008,1810440.66982
1,tour,2009,1830066.6496300001
1,tour,2010,1762457.76101
2,cf,2001,19880.9149
2,cf,2002,18756.9039
2,cf,2003,16835.1694
2,cf,2004,18015.025
2,cf,2005,16922.8122
2,cf,2006,16997.6408
2,mar,2005,4129.2711765
2,mar,2006,4040.6058441
2,mar,2007,6365.9175102
2,mmw,1998,268.1
2,mmw,2008,587.905
2,tour,2005,1789993.83154
2,tour,2006,1917973.12954
2,tour,2007,1777680.95447
2,tour,2008,1810440.66982
2,tour,2009,1830066.6496300001
2,tour,2010,1762457.76101
3,cf,2001,19880.9149
3,cf,2002,18756.9039
3,cf,2003,16835.1694
3,cf,2004,18015.025
3,cf,2005,16922.8122
3,cf,2006,16997.6408
3,mar,2005,4129.2711765
3,mar,2006,4040.6058441
3,mar,2007,6365.9175102
3,mmw,1998,268.1
3,mmw,2008,587.905
3,tour,2005,1789993.83154
3,tour,2006,1917973.12954
3,tour,2007,1777680.95447
3,tour,2008,1810440.66982
3,tour,2009,1830066.6496300001
3,tour,2010,1762457.76101
4,cf,2001,19880.9149
4,cf,2002,18756.9039
4,cf,2003,16835.1694
4,cf,2004,18015.025
4,cf,2005,16922.8122
4,cf,2006,16997.6408
4,mar,2005,4129.2711765
4,mar,2006,4040.6058441
4,mar,2007,6365.9175102
4,mmw,1998,268.1
4,mmw,2008,587.905
4,tour,2005,1789993.83154
4,tour,2006,1917973.12954
4,tour,2007,1777680.95447
4,tour,2008,1810440.66982
4,tour,2009,1830066.6496300001
4,tour,2010,1762457.76101
