rgn_id,taxa_code,year,tonnes
1,Atlantic cod_623,2001,15
1,Atlantic cod_623,2002,0
1,Atlantic cod_623,2003,0
1,Atlantic cod_623,2004,8
1,Atlantic cod_623,2005,69
1,Atlantic cod_623,2006,543
1,Atlantic cod_623,2007,1111
1,Atlantic cod_623,2008,1822
1,Atlantic cod_623,2009,0
1,Atlantic cod_623,2010,0.7
1,Atlantic cod_623,2011,0
1,Atlantic cod_623,2012,0
1,Atlantic cod_623,2013,0
1,Atlantic cod_623,2014,0
1,Atlantic halibut_624,1999,4
1,Atlantic halibut_624,2000,1
1,Atlantic halibut_624,2001,80
1,Atlantic halibut_624,2002,187
1,Atlantic halibut_624,2003,187
1,Atlantic halibut_624,2004,187
1,Atlantic halibut_624,2005,272
1,Atlantic halibut_624,2006,233
1,Atlantic halibut_624,2007,147
1,Atlantic halibut_624,2008,206
1,Atlantic halibut_624,2009,189
1,Atlantic halibut_624,2010,139
1,Atlantic halibut_624,2011,83.1
1,Atlantic halibut_624,2012,73
1,Atlantic halibut_624,2013,56
1,Atlantic halibut_624,2014,70
1,Atlantic salmon_625,1970,244
1,Atlantic salmon_625,1971,216
1,Atlantic salmon_625,1972,213
1,Atlantic salmon_625,1973,401
1,Atlantic salmon_625,1974,372
1,Atlantic salmon_625,1975,393
1,Atlantic salmon_625,1976,209
1,Atlantic salmon_625,1977,115
1,Atlantic salmon_625,1978,378
1,Atlantic salmon_625,1979,520
1,Atlantic salmon_625,1980,598
1,Atlantic salmon_625,1981,1133
1,Atlantic salmon_625,1982,2152
1,Atlantic salmon_625,1983,2536
1,Atlantic salmon_625,1984,3912
1,Atlantic salmon_625,1985,6921
1,Atlantic salmon_625,1986,10337
1,Atlantic salmon_625,1987,12721
1,Atlantic salmon_625,1988,17951
1,Atlantic salmon_625,1989,28603
1,Atlantic salmon_625,1990,32004
1,Atlantic salmon_625,1991,40657
1,Atlantic salmon_625,1992,36302
1,Atlantic salmon_625,1993,48791
1,Atlantic salmon_625,1994,64266
1,Atlantic salmon_625,1995,70320
1,Atlantic salmon_625,1996,83342
1,Atlantic salmon_625,1997,99422
1,Atlantic salmon_625,1998,110917
1,Atlantic salmon_625,1999,126686
1,Atlantic salmon_625,2000,128959
1,Atlantic salmon_625,2001,138519
1,Atlantic salmon_625,2002,145609
1,Atlantic salmon_625,2003,145609
1,Atlantic salmon_625,2004,158099
1,Atlantic salmon_625,2005,129823
1,Atlantic salmon_625,2006,131973
1,Atlantic salmon_625,2007,130104
1,Atlantic salmon_625,2008,128744
1,Atlantic salmon_625,2009,144654
1,Atlantic salmon_625,2010,154625
1,Atlantic salmon_625,2011,158305
1,Atlantic salmon_625,2012,162543
1,Atlantic salmon_625,2013,163512
1,Atlantic salmon_625,2014,165e3
1,Blue mussel_626,1984,1003
1,Blue mussel_626,1985,1204
1,Blue mussel_626,1986,1561
1,Blue mussel_626,1987,2185
1,Blue mussel_626,1988,2124
1,Blue mussel_626,1989,2278
1,Blue mussel_626,1990,2044
1,Blue mussel_626,1991,4826
1,Blue mussel_626,1992,3880
1,Blue mussel_626,1993,4211
1,Blue mussel_626,1994,4017
1,Blue mussel_626,1995,5801
1,Blue mussel_626,1996,8347
1,Blue mussel_626,1997,13127
1,Blue mussel_626,1998,8956
1,Blue mussel_626,1999,9535
1,Blue mussel_626,2000,11107
1,Blue mussel_626,2001,17332
1,Blue mussel_626,2002,17580
1,Blue mussel_626,2003,19218
1,Blue mussel_626,2004,30699
1,Blue mussel_626,2005,28506
1,Blue mussel_626,2006,23960
1,Blue mussel_626,2007,25669
1,Blue mussel_626,2008,28247
1,Blue mussel_626,2009,31929
1,Blue mussel_626,2010,30212
1,Blue mussel_626,2011,26158
1,Blue mussel_626,2012,26021
1,Blue mussel_626,2013,22480
1,Blue mussel_626,2014,22500
1,Common edible cockle_627,1989,2
1,Common edible cockle_627,1990,3
1,Common edible cockle_627,1991,3
1,Common edible cockle_627,1992,3
1,Common edible cockle_627,1993,4
1,Common edible cockle_627,1994,3
1,Common edible cockle_627,1995,5
1,Common edible cockle_627,1996,8
1,Common edible cockle_627,1997,20
1,Common edible cockle_627,1998,10
1,Common edible cockle_627,1999,43
1,Common edible cockle_627,2000,43
1,Common edible cockle_627,2001,105
1,Common edible cockle_627,2002,105
1,Common edible cockle_627,2003,20
1,Common edible cockle_627,2004,24
1,Common edible cockle_627,2005,5
1,Common edible cockle_627,2006,0
1,Common edible cockle_627,2007,2
1,Common edible cockle_627,2008,2057
1,Common edible cockle_627,2009,2027
1,Common edible cockle_627,2010,7.3
1,Common edible cockle_627,2011,5.6
1,Common edible cockle_627,2012,0
1,Common edible cockle_627,2013,2504
1,Common edible cockle_627,2014,5
1,Cupped oysters nei_628,1988,220
1,Cupped oysters nei_628,1989,220
1,Cupped oysters nei_628,1990,220
1,Cupped oysters nei_628,1991,228
1,Cupped oysters nei_628,1992,286
1,Cupped oysters nei_628,1993,290
1,Cupped oysters nei_628,1994,290
1,Cupped oysters nei_628,1995,268
1,Cupped oysters nei_628,1996,584
1,Cupped oysters nei_628,1997,400
1,Cupped oysters nei_628,1998,146
1,Cupped oysters nei_628,1999,910
1,Cupped oysters nei_628,2000,479
1,Cupped oysters nei_628,2001,0
1,Cupped oysters nei_628,2002,0
1,Cupped oysters nei_628,2003,0
1,Cupped oysters nei_628,2004,0
1,Cupped oysters nei_628,2005,0
1,Cupped oysters nei_628,2006,0
1,Cupped oysters nei_628,2007,0
1,Cupped oysters nei_628,2008,0
1,Cupped oysters nei_628,2009,0
1,Cupped oysters nei_628,2010,0
1,Cupped oysters nei_628,2011,0
1,Cupped oysters nei_628,2012,0
1,Cupped oysters nei_628,2013,0
1,Cupped oysters nei_628,2014,0
1,European flat oyster_629,1987,86
1,European flat oyster_629,1988,99
1,European flat oyster_629,1989,60
1,European flat oyster_629,1990,184
1,European flat oyster_629,1991,76
1,European flat oyster_629,1992,266
1,European flat oyster_629,1993,310
1,European flat oyster_629,1994,315
1,European flat oyster_629,1995,189
1,European flat oyster_629,1996,144
1,European flat oyster_629,1997,90
1,European flat oyster_629,1998,51
1,European flat oyster_629,1999,11
1,European flat oyster_629,2000,4
1,European flat oyster_629,2001,145
1,European flat oyster_629,2002,132
1,European flat oyster_629,2003,144
1,European flat oyster_629,2004,149
1,European flat oyster_629,2005,42
1,European flat oyster_629,2006,54
1,European flat oyster_629,2007,87
1,European flat oyster_629,2008,270
1,European flat oyster_629,2009,265
1,European flat oyster_629,2010,116.85
1,European flat oyster_629,2011,114
1,European flat oyster_629,2012,111
1,European flat oyster_629,2013,55
1,European flat oyster_629,2014,60
1,European seabass_630,2003,12
1,European seabass_630,2004,12
1,European seabass_630,2005,0
1,European seabass_630,2006,0
1,European seabass_630,2007,0
1,European seabass_630,2008,23
1,European seabass_630,2009,322
1,European seabass_630,2010,473
1,European seabass_630,2011,490
1,European seabass_630,2012,190
1,European seabass_630,2013,252
1,European seabass_630,2014,250
1,Great Atlantic scallop_631,1986,25
1,Great Atlantic scallop_631,1987,21
1,Great Atlantic scallop_631,1988,9
1,Great Atlantic scallop_631,1989,11
1,Great Atlantic scallop_631,1990,13
1,Great Atlantic scallop_631,1991,38
1,Great Atlantic scallop_631,1992,59
1,Great Atlantic scallop_631,1993,59
1,Great Atlantic scallop_631,1994,24
1,Great Atlantic scallop_631,1995,36
1,Great Atlantic scallop_631,1996,36
1,Great Atlantic scallop_631,1997,27
1,Great Atlantic scallop_631,1998,41
1,Great Atlantic scallop_631,1999,27
1,Great Atlantic scallop_631,2000,41
1,Great Atlantic scallop_631,2001,28
1,Great Atlantic scallop_631,2002,39
1,Great Atlantic scallop_631,2003,46
1,Great Atlantic scallop_631,2004,14
1,Great Atlantic scallop_631,2005,12
1,Great Atlantic scallop_631,2006,10
1,Great Atlantic scallop_631,2007,2
1,Great Atlantic scallop_631,2008,15
1,Great Atlantic scallop_631,2009,4
1,Great Atlantic scallop_631,2010,0
1,Great Atlantic scallop_631,2011,10
1,Great Atlantic scallop_631,2012,7
1,Great Atlantic scallop_631,2013,5
1,Great Atlantic scallop_631,2014,10
1,Grooved carpet shell_632,1986,0.1
1,Grooved carpet shell_632,1987,1
1,Grooved carpet shell_632,1988,0
1,Grooved carpet shell_632,1989,0
1,Grooved carpet shell_632,1990,0
1,Grooved carpet shell_632,1991,0
1,Grooved carpet shell_632,1992,1
1,Grooved carpet shell_632,1993,1
1,Grooved carpet shell_632,1994,0.1
1,Grooved carpet shell_632,1995,0
1,Grooved carpet shell_632,1996,0
1,Grooved carpet shell_632,1997,0
1,Grooved carpet shell_632,1998,0
1,Grooved carpet shell_632,1999,0
1,Grooved carpet shell_632,2000,0
1,Grooved carpet shell_632,2001,0
1,Grooved carpet shell_632,2002,0
1,Grooved carpet shell_632,2003,5
1,Grooved carpet shell_632,2004,5
1,Grooved carpet shell_632,2005,0
1,Grooved carpet shell_632,2006,4
1,Grooved carpet shell_632,2007,4
1,Grooved carpet shell_632,2008,0
1,Grooved carpet shell_632,2009,0
1,Grooved carpet shell_632,2010,0
1,Grooved carpet shell_632,2011,0
1,Grooved carpet shell_632,2012,0
1,Grooved carpet shell_632,2013,0
1,Grooved carpet shell_632,2014,0
1,Japanese carpet shell_633,1989,0.1
1,Japanese carpet shell_633,1990,46
1,Japanese carpet shell_633,1991,50
1,Japanese carpet shell_633,1992,48
1,Japanese carpet shell_633,1993,51
1,Japanese carpet shell_633,1994,21
1,Japanese carpet shell_633,1995,17
1,Japanese carpet shell_633,1996,21
1,Japanese carpet shell_633,1997,36
1,Japanese carpet shell_633,1998,31
1,Japanese carpet shell_633,1999,29
1,Japanese carpet shell_633,2000,29
1,Japanese carpet shell_633,2001,36
1,Japanese carpet shell_633,2002,36
1,Japanese carpet shell_633,2003,23
1,Japanese carpet shell_633,2004,50
1,Japanese carpet shell_633,2005,5
1,Japanese carpet shell_633,2006,50
1,Japanese carpet shell_633,2007,1
1,Japanese carpet shell_633,2008,0
1,Japanese carpet shell_633,2009,10
1,Japanese carpet shell_633,2010,14.5
1,Japanese carpet shell_633,2011,5.2
1,Japanese carpet shell_633,2012,5
1,Japanese carpet shell_633,2013,11
1,Japanese carpet shell_633,2014,5
1,Northern quahog(=Hard clam)_634,2003,1
1,Northern quahog(=Hard clam)_634,2004,1
1,Northern quahog(=Hard clam)_634,2005,250
1,Northern quahog(=Hard clam)_634,2006,0
1,Northern quahog(=Hard clam)_634,2007,4
1,Northern quahog(=Hard clam)_634,2008,4
1,Northern quahog(=Hard clam)_634,2009,4
1,Northern quahog(=Hard clam)_634,2010,12
1,Northern quahog(=Hard clam)_634,2011,10
1,Northern quahog(=Hard clam)_634,2012,9
1,Northern quahog(=Hard clam)_634,2013,1
1,Northern quahog(=Hard clam)_634,2014,10
1,Pacific cupped oyster_635,1961,100
1,Pacific cupped oyster_635,1962,0
1,Pacific cupped oyster_635,1963,0
1,Pacific cupped oyster_635,1964,100
1,Pacific cupped oyster_635,1965,100
1,Pacific cupped oyster_635,1966,100
1,Pacific cupped oyster_635,1967,100
1,Pacific cupped oyster_635,1968,100
1,Pacific cupped oyster_635,1969,100
1,Pacific cupped oyster_635,1970,100
1,Pacific cupped oyster_635,1971,100
1,Pacific cupped oyster_635,1972,0.1
1,Pacific cupped oyster_635,1973,0.1
1,Pacific cupped oyster_635,1974,1
1,Pacific cupped oyster_635,1975,3
1,Pacific cupped oyster_635,1976,6
1,Pacific cupped oyster_635,1977,0.1
1,Pacific cupped oyster_635,1978,10
1,Pacific cupped oyster_635,1979,17
1,Pacific cupped oyster_635,1980,30
1,Pacific cupped oyster_635,1981,45
1,Pacific cupped oyster_635,1982,39
1,Pacific cupped oyster_635,1983,49
1,Pacific cupped oyster_635,1984,124
1,Pacific cupped oyster_635,1985,123
1,Pacific cupped oyster_635,1986,216
1,Pacific cupped oyster_635,1987,215
1,Pacific cupped oyster_635,1988,257
1,Pacific cupped oyster_635,1989,300
1,Pacific cupped oyster_635,1990,262
1,Pacific cupped oyster_635,1991,354
1,Pacific cupped oyster_635,1992,415
1,Pacific cupped oyster_635,1993,437
1,Pacific cupped oyster_635,1994,357
1,Pacific cupped oyster_635,1995,535
1,Pacific cupped oyster_635,1996,553
1,Pacific cupped oyster_635,1997,597
1,Pacific cupped oyster_635,1998,559
1,Pacific cupped oyster_635,1999,232
1,Pacific cupped oyster_635,2000,633
1,Pacific cupped oyster_635,2001,826
1,Pacific cupped oyster_635,2002,796
1,Pacific cupped oyster_635,2003,1012
1,Pacific cupped oyster_635,2004,1504
1,Pacific cupped oyster_635,2005,922
1,Pacific cupped oyster_635,2006,1376
1,Pacific cupped oyster_635,2007,1037
