rgn_id,year,Ep
1,1990,0.0522117
1,1991,0.0501407
1,1992,0.0499478
1,1993,0.0531533
1,1994,0.0534319
1,1995,0.05404
1,1996,0.0598254
1,1997,0.0593407
1,1998,0.0598726
1,1999,0.0556268
1,2000,0.0571698
1,2001,0.0558428
1,2002,0.0516007
1,2003,0.0477597
1,2004,0.0451198
1,2005,0.0439264
1,2006,0.0471095
1,2007,0.0480726
1,2008,0.046959
1,2009,0.0448785
1,2010,0.0432877
1,2011,0.0459808
1,2012,0.0503555
1,2013,0.0531559
1,2014,0.0528303
1,1988,0.055735
1,1989,0.0520607
1,2015,0.0530874
1,2016,0.0538499
1,2017,0.0543457
1,2018,0.0550518
1,2019,0.0558466
1,2020,0.0564149
1,2021,0.0570074
1,2022,0.0574374
1,2023,0.0579905
1,2024,0.0587265
1,2025,0.0589327
1,2026,0.0595956
2,1990,0.0522117
2,1991,0.0501407
2,1992,0.0499478
2,1993,0.0531533
2,1994,0.0534319
2,1995,0.05404
2,1996,0.0598254
2,1997,0.0593407
2,1998,0.0598726
2,1999,0.0556268
2,2000,0.0571698
2,2001,0.0558428
2,2002,0.0516007
2,2003,0.0477597
2,2004,0.0451198
2,2005,0.0439264
2,2006,0.0471095
2,2007,0.0480726
2,2008,0.046959
2,2009,0.0448785
2,2010,0.0432877
2,2011,0.0459808
2,2012,0.0503555
2,2013,0.0531559
2,2014,0.0528303
2,1988,0.055735
2,1989,0.0520607
2,2015,0.0530874
2,2016,0.0538499
2,2017,0.0543457
2,2018,0.0550518
2,2019,0.0558466
2,2020,0.0564149
2,2021,0.0570074
2,2022,0.0574374
2,2023,0.0579905
2,2024,0.0587265
2,2025,0.0589327
2,2026,0.0595956
3,1990,0.0522117
3,1991,0.0501407
3,1992,0.0499478
3,1993,0.0531533
3,1994,0.0534319
3,1995,0.05404
3,1996,0.0598254
3,1997,0.0593407
3,1998,0.0598726
3,1999,0.0556268
3,2000,0.0571698
3,2001,0.0558428
3,2002,0.0516007
3,2003,0.0477597
3,2004,0.0451198
3,2005,0.0439264
3,2006,0.0471095
3,2007,0.0480726
3,2008,0.046959
3,2009,0.0448785
3,2010,0.0432877
3,2011,0.0459808
3,2012,0.0503555
3,2013,0.0531559
3,2014,0.0528303
3,1988,0.055735
3,1989,0.0520607
3,2015,0.0530874
3,2016,0.0538499
3,2017,0.0543457
3,2018,0.0550518
3,2019,0.0558466
3,2020,0.0564149
3,2021,0.0570074
3,2022,0.0574374
3,2023,0.0579905
3,2024,0.0587265
3,2025,0.0589327
3,2026,0.0595956
4,1990,0.0522117
4,1991,0.0501407
4,1992,0.0499478
4,1993,0.0531533
4,1994,0.0534319
4,1995,0.05404
4,1996,0.0598254
4,1997,0.0593407
4,1998,0.0598726
4,1999,0.0556268
4,2000,0.0571698
4,2001,0.0558428
4,2002,0.0516007
4,2003,0.0477597
4,2004,0.0451198
4,2005,0.0439264
4,2006,0.0471095
4,2007,0.0480726
4,2008,0.046959
4,2009,0.0448785
4,2010,0.0432877
4,2011,0.0459808
4,2012,0.0503555
4,2013,0.0531559
4,2014,0.0528303
4,1988,0.055735
4,1989,0.0520607
4,2015,0.0530874
4,2016,0.0538499
4,2017,0.0543457
4,2018,0.0550518
4,2019,0.0558466
4,2020,0.0564149
4,2021,0.0570074
4,2022,0.0574374
4,2023,0.0579905
4,2024,0.0587265
4,2025,0.0589327
4,2026,0.0595956
